,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,15849.0,20016.0,20093.0,21013.0,23883.0,23577.0,24912.0,26500.0
1,영업이익,1968.0,1794.0,1811.0,2010.0,2376.0,2236.0,2585.0,2772.0
2,영업이익(발표기준),1968.0,1794.0,1811.0,2010.0,2376.0,,,
3,세전계속사업이익,1908.0,1538.0,1311.0,1691.0,2336.0,2213.0,2560.0,2810.0
4,당기순이익,1445.0,1090.0,947.0,1113.0,1743.0,1696.0,1940.0,2122.0
5,당기순이익(지배),1299.0,1100.0,1087.0,1131.0,1663.0,1610.0,1875.0,1943.0
6,당기순이익(비지배),146.0,-10.0,-140.0,-18.0,80.0,,,
7,자산총계,22210.0,23897.0,22749.0,26389.0,31045.0,32104.0,34154.0,35570.0
8,부채총계,8586.0,10122.0,9341.0,9758.0,11356.0,10890.0,11104.0,10658.0
9,자본총계,13624.0,13775.0,13407.0,16631.0,19690.0,21214.0,23050.0,24912.0
10,자본총계(지배),11767.0,12450.0,12295.0,15446.0,18435.0,19855.0,21564.0,23293.0
11,자본총계(비지배),1858.0,1325.0,1112.0,,,,,
12,자본금,222.0,222.0,222.0,222.0,222.0,221.0,221.0,221.0
13,영업활동현금흐름,2584.0,1019.0,1591.0,1839.0,2318.0,2301.0,2581.0,2484.0
14,투자활동현금흐름,-1671.0,-1022.0,-1673.0,-1169.0,-1117.0,-552.0,-1423.0,-1664.0
15,재무활동현금흐름,1564.0,88.0,-471.0,-804.0,-251.0,-529.0,-311.0,-580.0
16,CAPEX,564.0,692.0,1443.0,1271.0,1262.0,1018.0,1076.0,1366.0
17,FCF,2020.0,327.0,149.0,569.0,1056.0,564.0,917.0,721.0
18,이자발생부채,3800.0,5023.0,4329.0,3825.0,4626.0,,,
19,영업이익률,12.42,8.96,9.01,9.57,9.95,9.48,10.38,10.46
20,순이익률,9.12,5.44,4.71,5.3,7.3,7.19,7.79,8.01
21,ROE(%),12.09,9.08,8.79,8.15,9.82,8.41,9.05,8.66
22,ROA(%),7.99,4.73,4.06,4.53,6.07,5.37,5.86,6.09
23,부채비율,63.02,73.48,69.67,58.67,57.67,51.33,48.17,42.78
24,자본유보율,5019.32,5384.08,5824.27,6276.46,6954.16,,,
25,EPS(원),2931.0,2482.0,2453.0,2551.0,3753.0,3633.0,4232.0,4384.0
26,PER(배),14.36,12.35,12.84,15.03,9.13,8.44,7.24,6.99
27,BPS(원),26554.0,28320.0,28029.0,35211.0,42025.0,45264.0,49158.0,53101.0
28,PBR(배),1.59,1.08,1.12,1.09,0.82,0.68,0.62,0.58
29,현금DPS(원),200.0,250.0,300.0,350.0,400.0,350.0,358.0,358.0
30,현금배당수익률,0.48,0.82,0.95,0.91,1.17,1.14,1.17,1.17
31,현금배당성향(%),6.82,9.99,12.11,13.58,10.55,9.63,8.47,8.17
32,발행주식수(보통주),44311468.0,44311468.0,44311468.0,44311468.0,44311468.0,,,
