,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,581923.0,530835.0,606551.0,649778.0,643668.0,578214.0,607023.0,621975.0
1,영업이익,24100.0,28443.0,46218.0,55426.0,38689.0,25566.0,36537.0,40250.0
2,영업이익(발표기준),24100.0,28443.0,46218.0,55426.0,38689.0,,,
3,세전계속사업이익,1808.0,14329.0,41797.0,35628.0,30533.0,21896.0,32995.0,37104.0
4,당기순이익,-962.0,10482.0,29735.0,18921.0,19826.0,14992.0,22743.0,25453.0
5,당기순이익(지배),1806.0,13633.0,27901.0,16906.0,18351.0,14034.0,21401.0,23823.0
6,당기순이익(비지배),-2768.0,-3151.0,1834.0,2015.0,1476.0,,,
7,자산총계,804088.0,797630.0,790250.0,782483.0,790587.0,784765.0,798923.0,810128.0
8,부채총계,353385.0,339246.0,315610.0,314887.0,312640.0,300663.0,300925.0,293785.0
9,자본총계,450702.0,458384.0,474640.0,467596.0,477947.0,484102.0,497998.0,516343.0
10,자본총계(지배),412354.0,423734.0,437329.0,433713.0,444719.0,449612.0,462246.0,478762.0
11,자본총계(비지배),38349.0,34650.0,37311.0,,,,,
12,자본금,4824.0,4824.0,4824.0,4824.0,4824.0,4821.0,4821.0,4821.0
13,영업활동현금흐름,76018.0,52694.0,56073.0,58697.0,60047.0,53962.0,55233.0,58340.0
14,투자활동현금흐름,-45347.0,-37546.0,-38179.0,-26480.0,-36829.0,-28769.0,-35181.0,-33771.0
15,재무활동현금흐름,-22416.0,-39510.0,-15655.0,-31950.0,-15122.0,-16821.0,-13363.0,-15755.0
16,CAPEX,25602.0,23241.0,22876.0,21356.0,25192.0,29342.0,28586.0,28815.0
17,FCF,50416.0,29453.0,33197.0,37342.0,34854.0,26003.0,22228.0,25499.0
18,이자발생부채,252615.0,228194.0,211567.0,203040.0,211171.0,,,
19,영업이익률,4.14,5.36,7.62,8.53,6.01,4.42,6.02,6.47
20,순이익률,-0.17,1.98,4.9,2.91,3.08,2.59,3.75,4.09
21,ROE(%),0.44,3.26,6.48,3.88,4.18,3.14,4.69,5.06
22,ROA(%),-0.12,1.31,3.74,2.41,2.52,1.9,2.87,3.16
23,부채비율,78.41,74.01,66.49,67.34,65.41,62.11,60.43,56.9
24,자본유보율,8682.51,8824.89,9218.26,9458.18,9630.2,,,
25,EPS(원),2072.0,15637.0,32001.0,19391.0,21048.0,16096.0,24546.0,27324.0
26,PER(배),80.36,16.47,10.39,12.53,11.24,11.24,7.37,6.62
27,BPS(원),515470.0,529683.0,546664.0,542133.0,555096.0,562350.0,578152.0,598810.0
28,PBR(배),0.32,0.49,0.61,0.45,0.43,0.32,0.31,0.3
29,현금DPS(원),8000.0,8000.0,8000.0,10000.0,10000.0,9118.0,9441.0,9719.0
30,현금배당수익률,4.8,3.11,2.41,4.12,4.23,5.04,5.22,5.37
31,현금배당성향(%),354.26,46.94,22.94,47.32,43.66,56.64,38.46,35.57
32,발행주식수(보통주),87186835.0,87186835.0,87186835.0,87186835.0,87186835.0,,,
