,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,3927.0,4399.0,4831.0,5297.0,5391.0,,,
1,영업이익,351.0,77.0,68.0,7.0,-201.0,,,
2,영업이익(발표기준),351.0,77.0,68.0,7.0,-201.0,,,
3,세전계속사업이익,2366.0,284.0,211.0,160.0,98.0,,,
4,당기순이익,6073.0,245.0,158.0,31.0,-23.0,,,
5,당기순이익(지배),6231.0,243.0,163.0,33.0,-4.0,,,
6,당기순이익(비지배),-158.0,1.0,-5.0,-2.0,-19.0,,,
7,자산총계,11842.0,10047.0,9804.0,9776.0,10174.0,,,
8,부채총계,2242.0,1420.0,1287.0,1434.0,1983.0,,,
9,자본총계,9600.0,8627.0,8516.0,8341.0,8191.0,,,
10,자본총계(지배),9601.0,8628.0,8523.0,8349.0,8218.0,,,
11,자본총계(비지배),-2.0,-1.0,-6.0,,,,,
12,자본금,1196.0,1199.0,1199.0,1199.0,1199.0,,,
13,영업활동현금흐름,376.0,-1320.0,-78.0,238.0,297.0,,,
14,투자활동현금흐름,4535.0,377.0,171.0,5.0,-438.0,,,
15,재무활동현금흐름,-2918.0,-1269.0,-221.0,-139.0,-23.0,,,
16,CAPEX,17.0,590.0,347.0,200.0,121.0,,,
17,FCF,359.0,-1910.0,-425.0,38.0,176.0,,,
18,이자발생부채,20.0,20.0,19.0,24.0,356.0,,,
19,영업이익률,8.95,1.74,1.41,0.14,-3.73,,,
20,순이익률,154.66,5.56,3.27,0.59,-0.42,,,
21,ROE(%),93.41,2.67,1.9,0.39,-0.05,,,
22,ROA(%),60.29,2.23,1.59,0.32,-0.23,,,
23,부채비율,23.36,16.46,15.12,17.2,24.2,,,
24,자본유보율,908.33,749.17,753.1,742.72,732.5,,,
25,EPS(원),2605.0,102.0,68.0,14.0,-2.0,,,
26,PER(배),1.06,29.39,29.21,149.52,,,,
27,BPS(원),4008.0,4089.0,4132.0,4095.0,4063.0,,,
28,PBR(배),0.69,0.73,0.48,0.51,0.35,,,
29,현금DPS(원),100.0,50.0,50.0,50.0,40.0,,,
30,현금배당수익률,3.61,1.68,2.52,2.42,2.79,,,
31,현금배당성향(%),3.95,43.58,63.68,309.14,-2094.47,,,
32,발행주식수(보통주),238684063.0,238684063.0,238684063.0,238684063.0,238684063.0,,,
