,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS별도),2016/12  (IFRS별도),2017/12  (IFRS별도),2018/12  (IFRS별도),2019/12  (IFRS별도),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,913.0,2946.0,4646.0,5358.0,7016.0,,,
1,영업이익,-2036.0,-304.0,660.0,557.0,917.0,,,
2,영업이익(발표기준),-2036.0,-304.0,660.0,557.0,917.0,,,
3,세전계속사업이익,24881.0,-2309.0,-1160.0,3030.0,1554.0,,,
4,당기순이익,19049.0,-1768.0,-970.0,2241.0,2029.0,,,
5,당기순이익(지배),19049.0,-1768.0,-970.0,2241.0,2029.0,,,
6,당기순이익(비지배),,,,,,,,
7,자산총계,59605.0,75330.0,71831.0,59804.0,59116.0,,,
8,부채총계,31857.0,34506.0,32066.0,18249.0,15572.0,,,
9,자본총계,27748.0,40824.0,39765.0,41555.0,43545.0,,,
10,자본총계(지배),27748.0,40824.0,39765.0,41555.0,43545.0,,,
11,자본총계(비지배),,,,,,,,
12,자본금,1378.0,1654.0,1654.0,1654.0,1654.0,,,
13,영업활동현금흐름,-2655.0,-627.0,1498.0,-330.0,102.0,,,
14,투자활동현금흐름,-4295.0,-13728.0,2652.0,-6314.0,3396.0,,,
15,재무활동현금흐름,6332.0,16313.0,-2872.0,3239.0,-2398.0,,,
16,CAPEX,2403.0,1630.0,4941.0,2786.0,1717.0,,,
17,FCF,-5058.0,-2257.0,-3443.0,-3117.0,-1616.0,,,
18,이자발생부채,25123.0,8431.0,5459.0,8727.0,6537.0,,,
19,영업이익률,-223.1,-10.33,14.2,10.39,13.08,,,
20,순이익률,2086.97,-60.02,-20.87,41.83,28.92,,,
21,ROE(%),107.38,-5.16,-2.41,5.51,4.77,,,
22,ROA(%),52.05,-2.62,-1.32,3.4,3.41,,,
23,부채비율,114.81,84.52,80.64,43.92,35.76,,,
24,자본유보율,1909.52,2365.01,2306.38,2416.4,2539.07,,,
25,EPS(원),38489.0,-3113.0,-1466.0,3387.0,3067.0,,,
26,PER(배),,,,114.11,141.2,,,
27,BPS(원),50326.0,61700.0,60099.0,62805.0,65812.0,,,
28,PBR(배),0.0,2.45,6.17,6.15,6.58,,,
29,현금DPS(원),0.0,0.0,,,,0.0,0.0,0.0
30,현금배당수익률,,,,,,0.0,0.0,0.0
31,현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
32,발행주식수(보통주),55137442.0,66165000.0,66165000.0,66165000.0,66165000.0,,,
