,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,17996.0,18302.0,19423.0,20183.0,21515.0,22638.0,23765.0,24940.0
1,영업이익,1726.0,2057.0,2026.0,1991.0,1968.0,2118.0,2253.0,2365.0
2,영업이익(발표기준),1733.0,2057.0,2026.0,1991.0,1968.0,,,
3,세전계속사업이익,1562.0,1862.0,1914.0,1986.0,1925.0,2088.0,2235.0,2352.0
4,당기순이익,1554.0,1405.0,1433.0,1030.0,1466.0,1584.0,1693.0,1780.0
5,당기순이익(지배),1536.0,1405.0,1433.0,1030.0,1466.0,1584.0,1694.0,1780.0
6,당기순이익(비지배),18.0,0.0,0.0,0.0,0.0,,,
7,자산총계,13944.0,14604.0,15815.0,16829.0,17950.0,18220.0,19144.0,20152.0
8,부채총계,4141.0,3604.0,3737.0,4205.0,4674.0,4216.0,4322.0,4492.0
9,자본총계,9804.0,10999.0,12078.0,12623.0,13276.0,14004.0,14822.0,15660.0
10,자본총계(지배),9801.0,10999.0,12078.0,12623.0,13276.0,14004.0,14822.0,15660.0
11,자본총계(비지배),3.0,,0.0,,,,,
12,자본금,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0
13,영업활동현금흐름,3179.0,2732.0,2942.0,2370.0,2798.0,2512.0,2854.0,3292.0
14,투자활동현금흐름,-324.0,-2135.0,-2247.0,-1762.0,-1236.0,-684.0,-950.0,-1848.0
15,재무활동현금흐름,-2297.0,-410.0,-423.0,-845.0,-1032.0,-862.0,-890.0,-908.0
16,CAPEX,1371.0,1336.0,1221.0,1300.0,1528.0,802.0,798.0,815.0
17,FCF,1808.0,1396.0,1721.0,1070.0,1271.0,1347.0,1693.0,2290.0
18,이자발생부채,,,0.0,0.0,269.0,,,
19,영업이익률,9.59,11.24,10.43,9.87,9.15,9.35,9.48,9.48
20,순이익률,8.64,7.68,7.38,5.1,6.82,7.0,7.12,7.14
21,ROE(%),16.58,13.51,12.42,8.34,11.32,11.61,11.75,11.68
22,ROA(%),10.89,9.85,9.42,6.31,8.43,8.76,9.06,9.06
23,부채비율,42.24,32.77,30.94,33.31,35.2,30.11,29.16,28.69
24,자본유보율,5862.26,6491.37,7060.34,7347.08,7687.07,,,
25,EPS(원),4043.0,3698.0,3772.0,2710.0,3859.0,4168.0,4458.0,4684.0
26,PER(배),24.66,23.71,28.37,37.09,24.28,22.36,20.91,19.9
27,BPS(원),28988.0,32533.0,35724.0,37335.0,39266.0,41419.0,43839.0,46317.0
28,PBR(배),3.44,2.7,3.0,2.69,2.39,2.25,2.13,2.01
29,현금DPS(원),1200.0,1250.0,2500.0,2500.0,2500.0,2540.0,2600.0,2650.0
30,현금배당수익률,1.2,1.43,2.34,2.49,2.67,2.73,2.79,2.84
31,현금배당성향(%),26.41,30.07,58.97,82.09,57.64,60.94,58.32,56.57
32,발행주식수(보통주),37999178.0,37999178.0,37999178.0,37999178.0,37999178.0,,,
