,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,43343.0,861.0,1243.0,2206.0,2403.0,2300.0,2350.0,2410.0
1,영업이익,1836.0,80.0,110.0,295.0,294.0,240.0,250.0,260.0
2,영업이익(발표기준),1836.0,2172.0,110.0,295.0,294.0,,,
3,세전계속사업이익,1965.0,199.0,-43.0,523.0,267.0,230.0,270.0,280.0
4,당기순이익,1528.0,1846.0,34979.0,472.0,175.0,180.0,210.0,220.0
5,당기순이익(지배),1517.0,1835.0,34976.0,483.0,269.0,190.0,210.0,220.0
6,당기순이익(비지배),12.0,11.0,2.0,-11.0,-94.0,,,
7,자산총계,16216.0,19176.0,8581.0,16249.0,16574.0,16530.0,16540.0,16660.0
8,부채총계,8479.0,9754.0,1329.0,927.0,1291.0,1180.0,1080.0,1080.0
9,자본총계,7737.0,9422.0,7252.0,15322.0,15283.0,15350.0,15460.0,15580.0
10,자본총계(지배),7732.0,9240.0,7082.0,14991.0,15026.0,15110.0,15210.0,15330.0
11,자본총계(비지배),5.0,182.0,170.0,,,,,
12,자본금,248.0,495.0,323.0,954.0,957.0,960.0,960.0,960.0
13,영업활동현금흐름,3593.0,3320.0,3841.0,-292.0,138.0,240.0,290.0,400.0
14,투자활동현금흐름,-4446.0,-1580.0,-3509.0,294.0,-4.0,-170.0,-170.0,-170.0
15,재무활동현금흐름,267.0,-2248.0,-1186.0,-37.0,-115.0,-110.0,-110.0,-110.0
16,CAPEX,933.0,1181.0,1746.0,40.0,52.0,160.0,160.0,160.0
17,FCF,2660.0,2139.0,2095.0,-332.0,86.0,,,
18,이자발생부채,678.0,554.0,243.0,277.0,502.0,,,
19,영업이익률,4.24,9.31,8.81,13.36,12.23,10.44,10.64,10.79
20,순이익률,3.53,214.48,2813.01,21.4,7.29,7.83,8.94,9.13
21,ROE(%),22.77,21.62,428.57,4.37,1.79,1.26,1.39,1.44
22,ROA(%),10.33,10.43,252.03,3.8,1.07,1.09,1.27,1.32
23,부채비율,109.59,103.53,18.32,6.05,8.45,7.69,6.99,6.93
24,자본유보율,3041.47,1779.47,13439.63,1493.8,1495.87,,,
25,EPS(원),3072.0,3704.0,74962.0,575.0,281.0,198.0,219.0,230.0
26,PER(배),28.78,22.76,0.2,14.04,19.91,22.59,20.44,19.51
27,BPS(원),15605.0,18649.0,21957.0,15720.0,15700.0,15787.0,15892.0,16017.0
28,PBR(배),5.66,4.52,0.69,0.51,0.36,0.28,0.28,0.28
29,현금DPS(원),600.0,800.0,200.0,35.0,110.0,110.0,110.0,110.0
30,현금배당수익률,0.68,0.95,1.31,0.43,1.96,2.45,2.45,2.45
31,현금배당성향(%),19.6,21.6,0.18,6.91,39.18,55.42,50.14,47.86
32,발행주식수(보통주),49547625.0,49547625.0,32263719.0,95369179.0,95716791.0,,,
