,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,5679.0,5605.0,5550.0,5674.0,6123.0,6240.0,6800.0,
1,영업이익,539.0,148.0,239.0,394.0,566.0,550.0,560.0,
2,영업이익(발표기준),554.0,148.0,239.0,394.0,566.0,,,
3,세전계속사업이익,625.0,6.0,-83.0,161.0,890.0,430.0,470.0,
4,당기순이익,486.0,106.0,-54.0,80.0,709.0,,,
5,당기순이익(지배),486.0,106.0,-54.0,80.0,709.0,340.0,370.0,
6,당기순이익(비지배),0.0,0.0,,,,,,
7,자산총계,10635.0,10666.0,8997.0,9487.0,10088.0,,,
8,부채총계,5098.0,4774.0,3185.0,3693.0,3629.0,,,
9,자본총계,5538.0,5892.0,5812.0,5794.0,6459.0,,,
10,자본총계(지배),5536.0,5892.0,5812.0,5794.0,6459.0,,,
11,자본총계(비지배),2.0,,,,,,,
12,자본금,402.0,422.0,422.0,422.0,422.0,,,
13,영업활동현금흐름,424.0,19.0,512.0,501.0,563.0,,,
14,투자활동현금흐름,210.0,458.0,-21.0,-442.0,-200.0,,,
15,재무활동현금흐름,-704.0,-647.0,-1253.0,192.0,-281.0,,,
16,CAPEX,283.0,206.0,107.0,77.0,127.0,,,
17,FCF,141.0,-187.0,405.0,424.0,435.0,,,
18,이자발생부채,3726.0,2927.0,1803.0,2102.0,2068.0,,,
19,영업이익률,9.48,2.65,4.3,6.95,9.24,8.81,8.24,
20,순이익률,8.55,1.9,-0.97,1.41,11.58,,,
21,ROE(%),9.32,1.86,-0.92,1.38,11.58,,,
22,ROA(%),4.53,1.0,-0.55,0.87,7.25,,,
23,부채비율,92.05,81.02,54.81,63.74,56.19,,,
24,자본유보율,881.05,917.23,900.72,921.44,1065.43,,,
25,EPS(원),6187.0,1267.0,-639.0,948.0,8398.0,4027.0,4382.0,
26,PER(배),23.76,83.27,,110.18,14.17,21.56,19.81,
27,BPS(원),68932.0,69818.0,68875.0,68658.0,76538.0,,,
28,PBR(배),2.13,1.51,1.45,1.52,1.55,,,
29,현금DPS(원),1000.0,500.0,500.0,1000.0,1000.0,1000.0,1000.0,1040.0
30,현금배당수익률,0.68,0.47,0.5,0.96,0.84,1.15,1.15,1.2
31,현금배당성향(%),16.54,39.7,-78.2,105.36,11.9,24.83,22.82,
32,발행주식수(보통주),8035805.0,8443868.0,8443868.0,8443868.0,8443868.0,,,
