,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,192332.0,188250.0,168871.0,167309.0,172788.0,173295.0,182833.0,190040.0
1,영업이익,10893.0,11590.0,9861.0,8400.0,8597.0,8821.0,10020.0,10565.0
2,영업이익(발표기준),10893.0,11590.0,9861.0,8400.0,8597.0,,,
3,세전계속사업이익,8981.0,9815.0,5548.0,8979.0,7989.0,9452.0,9905.0,10440.0
4,당기순이익,6638.0,7317.0,3716.0,5353.0,5733.0,6794.0,7253.0,7688.0
5,당기순이익(지배),4210.0,5721.0,2017.0,3816.0,4074.0,4875.0,5203.0,5450.0
6,당기순이익(비지배),2428.0,1596.0,1699.0,1537.0,1659.0,,,
7,자산총계,193501.0,198734.0,184319.0,180546.0,182270.0,187690.0,195159.0,201471.0
8,부채총계,119595.0,117488.0,99590.0,97628.0,95120.0,94842.0,96394.0,96345.0
9,자본총계,73906.0,81246.0,84729.0,82919.0,87150.0,92847.0,98766.0,105126.0
10,자본총계(지배),57203.0,63290.0,64676.0,62741.0,66626.0,70912.0,75367.0,79977.0
11,자본총계(비지배),16703.0,17956.0,20053.0,,,,,
12,자본금,5573.0,5573.0,5573.0,5573.0,5573.0,5571.0,5571.0,5571.0
13,영업활동현금흐름,5960.0,10865.0,5144.0,2495.0,4789.0,6739.0,6294.0,7310.0
14,투자활동현금흐름,-11738.0,-7752.0,-163.0,-920.0,-1512.0,-1386.0,-3116.0,-2676.0
15,재무활동현금흐름,307.0,-1769.0,-3809.0,-373.0,153.0,-2235.0,-1555.0,-2028.0
16,CAPEX,1865.0,1787.0,498.0,1919.0,1099.0,1430.0,1432.0,1372.0
17,FCF,4095.0,9079.0,4646.0,576.0,3690.0,4551.0,3940.0,4700.0
18,이자발생부채,26327.0,25599.0,22818.0,24067.0,26626.0,,,
19,영업이익률,5.66,6.16,5.84,5.02,4.98,5.09,5.48,5.56
20,순이익률,3.45,3.89,2.2,3.2,3.32,3.92,3.97,4.04
21,ROE(%),7.65,9.5,3.15,5.99,6.3,7.09,7.11,7.02
22,ROA(%),3.53,3.73,1.94,2.93,3.16,3.67,3.79,3.88
23,부채비율,161.82,144.61,117.54,117.74,109.15,102.15,97.6,91.65
24,자본유보율,919.99,1015.93,1048.98,1074.89,1138.52,,,
25,EPS(원),3777.0,5133.0,1810.0,3424.0,3656.0,4374.0,4668.0,4890.0
26,PER(배),7.56,8.34,20.06,15.95,11.57,7.82,7.33,6.99
27,BPS(원),51324.0,56786.0,58029.0,56293.0,59778.0,63624.0,67622.0,71757.0
28,PBR(배),0.56,0.75,0.63,0.97,0.71,0.54,0.51,0.48
29,현금DPS(원),500.0,500.0,500.0,500.0,600.0,621.0,653.0,659.0
30,현금배당수익률,1.75,1.17,1.38,0.92,1.42,1.82,1.91,1.93
31,현금배당성향(%),13.24,9.74,27.63,14.6,16.41,14.19,13.97,13.46
32,발행주식수(보통주),111355765.0,111355765.0,111355765.0,111355765.0,111355765.0,,,
