,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,230860.0,222880.0,239892.0,238119.0,300050.0,,,
1,영업이익,29731.0,31086.0,38300.0,44994.0,50462.0,45067.0,46284.0,48722.0
2,영업이익(발표기준),29731.0,31086.0,38300.0,44994.0,50462.0,,,
3,세전계속사업이익,31406.0,31705.0,37976.0,44666.0,49115.0,44360.0,45528.0,47746.0
4,당기순이익,24460.0,28249.0,29492.0,31983.0,36424.0,32591.0,33296.0,34878.0
5,당기순이익(지배),23672.0,27748.0,29188.0,31567.0,34035.0,31038.0,31839.0,33281.0
6,당기순이익(비지배),788.0,501.0,304.0,415.0,2389.0,,,
7,자산총계,3705480.0,3956803.0,4263070.0,4596005.0,5524196.0,5812282.0,6082208.0,6303748.0
8,부채총계,3387349.0,3639353.0,3926034.0,4229491.0,5104892.0,5371342.0,5614952.0,5811032.0
9,자본총계,318131.0,317450.0,337036.0,366514.0,419304.0,440939.0,467255.0,492714.0
10,자본총계(지배),308397.0,311097.0,328202.0,357256.0,391779.0,419178.0,445991.0,471422.0
11,자본총계(비지배),9734.0,6353.0,8834.0,,,,,
12,자본금,26451.0,26451.0,26451.0,26451.0,27325.0,28378.0,28407.0,28610.0
13,영업활동현금흐름,29703.0,37972.0,10213.0,-63202.0,71790.0,,,
14,투자활동현금흐름,-52886.0,-75939.0,-107036.0,-55126.0,-226879.0,,,
15,재무활동현금흐름,13128.0,48446.0,103325.0,138065.0,158788.0,,,
16,CAPEX,1248.0,2521.0,1552.0,1429.0,2704.0,,,
17,FCF,,,,,,,,
18,이자발생부채,555956.0,603962.0,690009.0,839937.0,1004065.0,,,
19,영업이익률,12.88,13.95,15.97,18.9,16.82,,,
20,순이익률,10.6,12.68,12.29,13.43,12.14,,,
21,ROE(%),7.89,8.96,9.13,9.21,9.09,7.66,7.36,7.26
22,ROA(%),0.69,0.74,0.72,0.72,0.72,0.57,0.56,0.56
23,부채비율,1064.77,1146.43,1164.87,1153.98,1217.47,1218.16,1201.69,1179.39
24,자본유보율,1102.74,1100.16,1174.21,1291.55,1456.48,,,
25,EPS(원),4878.0,5810.0,6155.0,6657.0,7003.0,6253.0,6434.0,6725.0
26,PER(배),8.11,7.79,8.03,5.95,6.19,4.82,4.69,4.48
27,BPS(원),63548.0,65605.0,69212.0,75923.0,81997.0,85575.0,91048.0,96240.0
28,PBR(배),0.62,0.69,0.71,0.52,0.53,0.35,0.33,0.31
29,현금DPS(원),1200.0,1450.0,1450.0,1600.0,1850.0,1682.0,1768.0,1884.0
30,현금배당수익률,3.03,3.2,2.94,4.04,4.27,5.58,5.86,6.25
31,현금배당성향(%),26.66,24.78,23.56,23.86,25.97,26.14,26.78,27.3
32,발행주식수(보통주),474199587.0,474199587.0,474199587.0,474199587.0,474199587.0,,,
