,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,32410.0,49466.0,52976.0,87394.0,119126.0,147911.0,,
1,영업이익,4051.0,3269.0,4436.0,5323.0,6799.0,5928.0,6207.0,6527.0
2,영업이익(발표기준),4051.0,3269.0,4436.0,5323.0,6799.0,,,
3,세전계속사업이익,4065.0,3326.0,4664.0,5892.0,7670.0,5898.0,6377.0,6697.0
4,당기순이익,2873.0,2538.0,3552.0,4338.0,5546.0,4358.0,4623.0,4853.0
5,당기순이익(지배),2961.0,2538.0,3510.0,4282.0,5490.0,4410.0,4623.0,4853.0
6,당기순이익(비지배),-88.0,,42.0,56.0,56.0,,,
7,자산총계,144287.0,172678.0,234506.0,311618.0,381099.0,440244.0,504367.0,574440.0
8,부채총계,127101.0,153895.0,201380.0,276887.0,340907.0,397647.0,456837.0,522457.0
9,자본총계,17186.0,18783.0,33126.0,34731.0,40193.0,43094.0,48193.0,52647.0
10,자본총계(지배),17186.0,18783.0,32129.0,33734.0,39195.0,44530.0,48910.0,53520.0
11,자본총계(비지배),,,997.0,,,,,
12,자본금,4966.0,4966.0,7175.0,7175.0,7175.0,7172.0,7170.0,7170.0
13,영업활동현금흐름,-22628.0,-3989.0,-36507.0,-50427.0,-55437.0,,,
14,투자활동현금흐름,-625.0,-9962.0,7361.0,-1394.0,-5710.0,,,
15,재무활동현금흐름,24396.0,15052.0,32848.0,51373.0,61231.0,,,
16,CAPEX,53.0,38.0,48.0,29.0,161.0,,,
17,FCF,,,,,,,,
18,이자발생부채,20401.0,36229.0,72487.0,114158.0,130291.0,,,
19,영업이익률,12.5,6.61,8.37,6.09,5.71,4.01,,
20,순이익률,8.87,5.13,6.71,4.96,4.66,2.95,,
21,ROE(%),22.62,14.12,13.79,13.0,15.05,10.53,9.9,9.48
22,ROA(%),2.26,1.6,1.72,1.57,1.59,1.06,0.98,0.9
23,부채비율,739.58,819.33,607.92,797.23,848.18,922.73,947.93,992.38
24,자본유보율,248.0,280.16,363.05,385.42,461.54,,,
25,EPS(원),709.0,511.0,559.0,602.0,780.0,598.0,606.0,637.0
26,PER(배),5.63,6.77,8.18,7.11,4.86,5.5,5.42,5.16
27,BPS(원),3790.0,4142.0,4764.0,5107.0,5934.0,6192.0,6801.0,7442.0
28,PBR(배),1.05,0.84,0.96,0.84,0.64,0.53,0.48,0.44
29,현금DPS(원),230.0,200.0,200.0,200.0,200.0,207.0,210.0,213.0
30,현금배당수익률,5.76,5.78,4.37,4.67,5.28,6.29,6.39,6.49
31,현금배당성향(%),35.22,35.73,36.69,32.54,24.73,28.93,28.04,27.13
32,발행주식수(보통주),496638534.0,496638534.0,605641072.0,605641072.0,617310701.0,,,
