,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,124585.0,119291.0,26928.0,30025.0,33734.0,33995.0,35402.0,36433.0
1,영업이익,9502.0,10163.0,359.0,1550.0,2368.0,2577.0,3262.0,3234.0
2,영업이익(발표기준),9502.0,10163.0,359.0,1550.0,2368.0,,,
3,세전계속사업이익,5973.0,6965.0,-47.0,5672.0,2007.0,2315.0,2988.0,2938.0
4,당기순이익,5259.0,4754.0,3408.0,34260.0,1500.0,1803.0,2361.0,2276.0
5,당기순이익(지배),4927.0,4555.0,3256.0,33578.0,1037.0,1418.0,1897.0,1766.0
6,당기순이익(비지배),332.0,199.0,153.0,682.0,463.0,,,
7,자산총계,140132.0,141208.0,145350.0,64079.0,65271.0,80652.0,82021.0,90501.0
8,부채총계,105411.0,102796.0,106717.0,37058.0,38168.0,36790.0,37266.0,37686.0
9,자본총계,34721.0,38412.0,38633.0,27021.0,27102.0,29033.0,29926.0,30573.0
10,자본총계(지배),32583.0,36192.0,36535.0,24426.0,24404.0,24935.0,25825.0,25770.0
11,자본총계(비지배),2139.0,2220.0,2098.0,,,,,
12,자본금,1756.0,1756.0,1756.0,1054.0,1054.0,1051.0,1051.0,1052.0
13,영업활동현금흐름,13341.0,18129.0,6846.0,2640.0,1408.0,4978.0,5620.0,2394.0
14,투자활동현금흐름,-7072.0,-9083.0,-9702.0,-6335.0,-1278.0,-926.0,-949.0,-4308.0
15,재무활동현금흐름,-6565.0,-9991.0,3686.0,2251.0,-1705.0,10329.0,-4548.0,-1682.0
16,CAPEX,7022.0,9033.0,7043.0,3581.0,6.0,5918.0,5918.0,6036.0
17,FCF,6318.0,9097.0,-196.0,-941.0,1403.0,-424.0,-150.0,14.0
18,이자발생부채,77783.0,70426.0,72621.0,25144.0,26143.0,,,
19,영업이익률,7.63,8.52,1.33,5.16,7.02,7.58,9.21,8.88
20,순이익률,4.22,3.98,12.66,114.1,4.45,5.3,6.67,6.25
21,ROE(%),16.29,13.25,8.95,110.16,4.25,5.75,7.47,6.84
22,ROA(%),3.8,3.38,2.38,32.72,2.32,2.47,2.9,2.64
23,부채비율,303.59,267.61,276.23,137.14,140.83,126.72,124.53,123.26
24,자본유보율,1773.46,1947.87,2044.54,6933.49,6917.55,,,
25,EPS(원),14030.0,12972.0,9271.0,145796.0,4921.0,6731.0,9001.0,8379.0
26,PER(배),9.91,13.27,17.8,0.34,16.08,10.0,7.48,8.03
27,BPS(원),97938.0,108788.0,109819.0,120145.0,120034.0,124645.0,129094.0,128819.0
28,PBR(배),1.42,1.58,1.5,0.42,0.66,0.54,0.52,0.52
29,현금DPS(원),3500.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
30,현금배당수익률,2.52,2.91,3.03,10.0,6.32,7.43,7.43,7.43
31,현금배당성향(%),23.63,36.52,51.09,3.03,98.04,74.28,55.55,59.67
32,발행주식수(보통주),35117455.0,35117455.0,35117455.0,21071025.0,21071025.0,,,
