,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,Unnamed: 1_level_1,Unnamed: 2_level_1,2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,,,,21805.0,37814.0,30710.0,34700.0,36270.0
1,영업이익,,,,500.0,1303.0,210.0,1430.0,1550.0
2,영업이익(발표기준),,,,500.0,1303.0,,,
3,세전계속사업이익,,,,37.0,559.0,-510.0,640.0,790.0
4,당기순이익,,,,19.0,160.0,-420.0,480.0,600.0
5,당기순이익(지배),,,,19.0,131.0,-400.0,500.0,620.0
6,당기순이익(비지배),,,,0.0,29.0,,,
7,자산총계,,,,34325.0,40008.0,39370.0,41050.0,42610.0
8,부채총계,,,,25278.0,30103.0,29900.0,31040.0,31920.0
9,자본총계,,,,9047.0,9905.0,9470.0,10010.0,10690.0
10,자본총계(지배),,,,9045.0,9082.0,8680.0,9180.0,9800.0
11,자본총계(비지배),,,,,,,,
12,자본금,,,,466.0,466.0,470.0,470.0,470.0
13,영업활동현금흐름,,,,26.0,752.0,1610.0,170.0,1570.0
14,투자활동현금흐름,,,,-415.0,-4111.0,-360.0,-370.0,-380.0
15,재무활동현금흐름,,,,-1794.0,3326.0,350.0,380.0,400.0
16,CAPEX,,,,217.0,111.0,,,
17,FCF,,,,-192.0,641.0,600.0,1440.0,1490.0
18,이자발생부채,,,,10608.0,14474.0,,,
19,영업이익률,,,,2.29,3.45,0.68,4.12,4.27
20,순이익률,,,,0.09,0.42,-1.37,1.38,1.65
21,ROE(%),,,,,1.45,-4.5,5.6,6.53
22,ROA(%),,,,,0.43,-1.06,1.19,1.43
23,부채비율,,,,279.4,303.92,315.73,310.09,298.6
24,자본유보율,,,,1906.48,1910.73,,,
25,EPS(원),,,,352.0,1409.0,-4290.0,5362.0,6649.0
26,PER(배),,,,117.38,18.91,,3.22,2.59
27,BPS(원),,,,97137.0,97537.0,93216.0,98585.0,105243.0
28,PBR(배),,,,0.43,0.27,0.19,0.17,0.16
29,현금DPS(원),,,,,,0.0,0.0,0.0
30,현금배당수익률,,,,,,0.0,0.0,0.0
31,현금배당성향(%),,,,0.0,0.0,,,
32,발행주식수(보통주),,,,9324548.0,9324548.0,,,
