,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,21128.0,25217.0,25340.0,32517.0,31243.0,31350.0,32791.0,33700.0
1,영업이익,879.0,1052.0,871.0,1372.0,899.0,967.0,1106.0,1118.0
2,영업이익(발표기준),879.0,1052.0,871.0,1372.0,899.0,,,
3,세전계속사업이익,1206.0,1387.0,1607.0,1823.0,986.0,1384.0,1524.0,1548.0
4,당기순이익,915.0,1053.0,1215.0,1272.0,639.0,1005.0,1099.0,1102.0
5,당기순이익(지배),908.0,949.0,1134.0,1031.0,548.0,919.0,1004.0,965.0
6,당기순이익(비지배),6.0,104.0,81.0,241.0,91.0,,,
7,자산총계,19541.0,21817.0,27969.0,28374.0,29666.0,30680.0,31758.0,33296.0
8,부채총계,4862.0,5747.0,7535.0,7263.0,8502.0,9072.0,9244.0,9334.0
9,자본총계,14679.0,16071.0,20434.0,21111.0,21164.0,21609.0,22514.0,23962.0
10,자본총계(지배),14622.0,15096.0,16739.0,17082.0,17172.0,17888.0,18692.0,19742.0
11,자본총계(비지배),57.0,975.0,3694.0,,,,,
12,자본금,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0
13,영업활동현금흐름,540.0,1733.0,1064.0,954.0,1772.0,962.0,1692.0,1426.0
14,투자활동현금흐름,-458.0,-964.0,-829.0,-984.0,-1242.0,508.0,-771.0,-1074.0
15,재무활동현금흐름,-93.0,-666.0,-54.0,86.0,-394.0,232.0,-216.0,-137.0
16,CAPEX,290.0,178.0,240.0,716.0,1321.0,685.0,652.0,940.0
17,FCF,250.0,1556.0,825.0,239.0,450.0,-315.0,702.0,656.0
18,이자발생부채,115.0,327.0,373.0,348.0,964.0,,,
19,영업이익률,4.16,4.17,3.44,4.22,2.88,3.08,3.37,3.32
20,순이익률,4.33,4.17,4.79,3.91,2.05,3.21,3.35,3.27
21,ROE(%),6.4,6.39,7.12,6.1,3.2,5.24,5.49,5.02
22,ROA(%),4.77,5.09,4.88,4.52,2.2,3.33,3.52,3.39
23,부채비율,33.13,35.76,36.88,34.4,40.17,41.98,41.06,38.95
24,자본유보율,2513.04,2693.86,3033.2,3231.48,3276.46,,,
25,EPS(원),929.0,971.0,1161.0,1056.0,561.0,941.0,1028.0,988.0
26,PER(배),26.68,15.86,12.88,13.55,21.13,8.82,8.07,8.4
27,BPS(원),16750.0,17293.0,19173.0,19565.0,19669.0,20489.0,21409.0,22613.0
28,PBR(배),1.48,0.89,0.78,0.73,0.6,0.41,0.39,0.37
29,현금DPS(원),60.0,60.0,80.0,210.0,210.0,140.0,140.0,105.0
30,현금배당수익률,0.24,0.39,0.54,1.47,1.77,1.69,1.69,1.27
31,현금배당성향(%),5.77,5.52,6.16,17.78,33.46,14.88,13.62,10.63
32,발행주식수(보통주),97704482.0,97704482.0,97704482.0,97704482.0,97704482.0,,,
