,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,26134.0,35189.0,42155.0,44532.0,52641.0,54726.0,58208.0,60321.0
1,영업이익,-596.0,1507.0,829.0,532.0,1652.0,1989.0,2407.0,2785.0
2,영업이익(발표기준),-596.0,1507.0,829.0,532.0,1652.0,,,
3,세전계속사업이익,-191.0,4185.0,178.0,535.0,1563.0,1686.0,2127.0,2524.0
4,당기순이익,62.0,3459.0,-477.0,493.0,1624.0,1300.0,1645.0,1994.0
5,당기순이익(지배),57.0,3452.0,-482.0,323.0,1322.0,1137.0,1455.0,1799.0
6,당기순이익(비지배),5.0,6.0,5.0,169.0,302.0,,,
7,자산총계,41079.0,56524.0,57476.0,73967.0,87084.0,93523.0,96223.0,99321.0
8,부채총계,18628.0,33117.0,35666.0,47609.0,58531.0,63837.0,64959.0,66116.0
9,자본총계,22451.0,23408.0,21810.0,26358.0,28554.0,29686.0,31264.0,33206.0
10,자본총계(지배),22434.0,23390.0,21794.0,23696.0,24861.0,25874.0,27323.0,29089.0
11,자본총계(비지배),18.0,17.0,16.0,,,,,
12,자본금,2656.0,2656.0,2656.0,2656.0,2656.0,2643.0,2643.0,2641.0
13,영업활동현금흐름,-375.0,1961.0,-97.0,563.0,7151.0,3151.0,4407.0,4141.0
14,투자활동현금흐름,1776.0,-7183.0,726.0,-2131.0,-6435.0,-2361.0,-2289.0,-2206.0
15,재무활동현금흐름,-918.0,6379.0,1404.0,3327.0,2894.0,223.0,-661.0,-886.0
16,CAPEX,419.0,891.0,1416.0,1725.0,1538.0,1543.0,1539.0,1473.0
17,FCF,-794.0,1069.0,-1514.0,-1161.0,5613.0,1201.0,2501.0,2467.0
18,이자발생부채,5216.0,11858.0,13447.0,17341.0,21753.0,,,
19,영업이익률,-2.28,4.28,1.97,1.19,3.14,3.63,4.14,4.62
20,순이익률,0.24,9.83,-1.13,1.11,3.09,2.38,2.83,3.31
21,ROE(%),0.3,15.07,-2.14,1.42,5.45,4.48,5.47,6.38
22,ROA(%),0.16,7.09,-0.84,0.75,2.02,1.44,1.73,2.04
23,부채비율,82.97,141.48,163.53,180.63,204.99,215.04,207.78,199.11
24,자본유보율,453.3,579.14,556.35,667.34,710.7,,,
25,EPS(원),108.0,6498.0,-913.0,619.0,2555.0,2236.0,2875.0,3552.0
26,PER(배),329.21,6.69,,52.55,13.72,10.87,8.45,6.84
27,BPS(원),42224.0,44025.0,41433.0,45535.0,48217.0,52082.0,54999.0,58553.0
28,PBR(배),0.84,0.99,0.86,0.71,0.73,0.47,0.44,0.42
29,현금DPS(원),300.0,0.0,0.0,0.0,0.0,0.0,33.0,50.0
30,현금배당수익률,0.84,0.0,0.0,0.0,0.0,0.0,0.14,0.21
31,현금배당성향(%),277.81,0.0,0.0,0.0,0.0,,1.16,1.41
32,발행주식수(보통주),53130000.0,53130000.0,52600000.0,52040000.0,51560000.0,,,
