,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,260527.0,211081.0,221722.0,261850.0,249826.0,221583.0,215422.0,222091.0
1,영업이익,10078.0,9982.0,10352.0,12769.0,13345.0,12387.0,12845.0,12897.0
2,영업이익(발표기준),10078.0,9176.0,10352.0,12769.0,13345.0,,,
3,세전계속사업이익,2768.0,-7690.0,-12490.0,6490.0,1164.0,4405.0,5792.0,5796.0
4,당기순이익,3192.0,-6125.0,-11917.0,5267.0,583.0,3321.0,4427.0,4432.0
5,당기순이익(지배),3192.0,-6130.0,-12051.0,5094.0,388.0,3033.0,4099.0,4104.0
6,당기순이익(비지배),0.0,5.0,134.0,174.0,195.0,,,
7,자산총계,423853.0,400420.0,371394.0,396897.0,393119.0,385638.0,389155.0,385693.0
8,부채총계,323284.0,305690.0,289990.0,311917.0,311653.0,295800.0,294841.0,289835.0
9,자본총계,100569.0,94730.0,81404.0,84980.0,81465.0,84947.0,88266.0,91925.0
10,자본총계(지배),100569.0,93603.0,78133.0,81928.0,78533.0,82406.0,85482.0,89015.0
11,자본총계(비지배),0.0,1127.0,3271.0,,,,,
12,자본금,4616.0,4616.0,4616.0,4616.0,4616.0,4619.0,4619.0,4619.0
13,영업활동현금흐름,54562.0,47693.0,25076.0,571.0,19858.0,30720.0,21191.0,21223.0
14,투자활동현금흐름,-22466.0,-20789.0,-12259.0,-12752.0,-13970.0,-13937.0,-13961.0,-12634.0
15,재무활동현금흐름,-32660.0,-23766.0,-12661.0,9942.0,-5819.0,-6627.0,362.0,-1225.0
16,CAPEX,22724.0,18414.0,13516.0,11938.0,12232.0,13208.0,15126.0,13693.0
17,FCF,31838.0,29279.0,11560.0,-11367.0,7627.0,21059.0,4066.0,4745.0
18,이자발생부채,280527.0,259579.0,242495.0,261677.0,267399.0,,,
19,영업이익률,3.87,4.73,4.67,4.88,5.34,5.59,5.96,5.81
20,순이익률,1.23,-2.9,-5.38,2.01,0.23,1.5,2.05,2.0
21,ROE(%),3.23,-6.31,-14.03,6.36,0.48,3.77,4.88,4.7
22,ROA(%),0.72,-1.49,-3.09,1.37,0.15,0.85,1.14,1.14
23,부채비율,321.45,322.69,356.24,367.05,382.56,348.22,334.04,315.29
24,자본유보율,1677.75,1546.1,1434.24,1628.52,1606.72,,,
25,EPS(원),3458.0,-6641.0,-13055.0,5518.0,420.0,3285.0,4440.0,4446.0
26,PER(배),10.66,,,8.74,90.14,9.09,6.72,6.71
27,BPS(원),114757.0,106807.0,89155.0,93486.0,89612.0,95795.0,99371.0,103477.0
28,PBR(배),0.32,0.45,0.48,0.52,0.42,0.31,0.3,0.29
29,현금DPS(원),170.0,0.0,0.0,1360.0,380.0,1100.0,1308.0,1320.0
30,현금배당수익률,0.46,0.0,0.0,2.82,1.0,3.68,4.38,4.42
31,현금배당성향(%),4.67,0.0,0.0,23.4,85.91,33.47,29.45,29.7
32,발행주식수(보통주),92313000.0,92313000.0,92313000.0,92313000.0,92313000.0,,,
