,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,129245.0,145633.0,164772.0,186701.0,223525.0,242829.0,258471.0,273474.0
1,영업이익,7514.0,8436.0,7766.0,8327.0,8969.0,11034.0,12005.0,12921.0
2,영업이익(발표기준),7514.0,8436.0,7766.0,8327.0,8969.0,,,
3,세전계속사업이익,3648.0,5284.0,5843.0,12942.0,3388.0,9744.0,7342.0,8455.0
4,당기순이익,2537.0,3535.0,4128.0,9254.0,1910.0,6973.0,5177.0,5950.0
5,당기순이익(지배),1893.0,2759.0,3702.0,8752.0,1525.0,6415.0,4614.0,5240.0
6,당기순이익(비지배),644.0,776.0,426.0,502.0,385.0,,,
7,자산총계,137513.0,157662.0,168681.0,194970.0,262806.0,266431.0,272270.0,282566.0
8,부채총계,83660.0,97058.0,107243.0,121888.0,167992.0,163947.0,164184.0,167904.0
9,자본총계,53852.0,60605.0,61439.0,73082.0,94815.0,102484.0,108086.0,114662.0
10,자본총계(지배),31431.0,34094.0,33749.0,47828.0,48809.0,55052.0,59429.0,64520.0
11,자본총계(비지배),22421.0,26511.0,27689.0,,,,,
12,자본금,724.0,724.0,725.0,819.0,819.0,820.0,820.0,820.0
13,영업활동현금흐름,11546.0,8001.0,11808.0,4714.0,21431.0,19502.0,19519.0,20008.0
14,투자활동현금흐름,-6930.0,-14089.0,-14639.0,-10346.0,-31899.0,-8397.0,-12602.0,-13388.0
15,재무활동현금흐름,-3645.0,7259.0,2654.0,5210.0,12287.0,-8152.0,-4557.0,-4044.0
16,CAPEX,6735.0,8454.0,14504.0,16754.0,15539.0,9572.0,10275.0,10029.0
17,FCF,4811.0,-453.0,-2695.0,-12040.0,5892.0,6538.0,7415.0,7972.0
18,이자발생부채,57462.0,66622.0,71344.0,79353.0,100455.0,,,
19,영업이익률,5.81,5.79,4.71,4.46,4.01,4.54,4.64,4.72
20,순이익률,1.96,2.43,2.5,4.96,0.86,2.87,2.0,2.18
21,ROE(%),6.18,8.42,10.91,21.46,3.16,12.35,8.06,8.46
22,ROA(%),1.87,2.4,2.53,5.09,0.83,2.63,1.92,2.15
23,부채비율,155.35,160.15,174.55,166.78,177.18,159.97,151.9,146.43
24,자본유보율,4496.86,4818.68,5152.2,6233.74,6220.8,,,
25,EPS(원),13073.0,19044.0,25536.0,54173.0,9312.0,39159.0,28167.0,31986.0
26,PER(배),28.88,18.77,14.33,6.1,27.12,7.58,10.54,9.29
27,BPS(원),222486.0,241270.0,238582.0,298494.0,304613.0,343579.0,370894.0,402668.0
28,PBR(배),1.7,1.48,1.53,1.11,0.83,0.86,0.8,0.74
29,현금DPS(원),2500.0,2500.0,3000.0,3500.0,3500.0,3500.0,3567.0,3607.0
30,현금배당수익률,0.66,0.7,0.82,1.06,1.39,1.18,1.2,1.21
31,현금배당성향(%),18.7,12.83,11.48,6.42,36.81,8.21,11.64,10.36
32,발행주식수(보통주),13158198.0,13161898.0,13176748.0,15054186.0,15054186.0,,,
