,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,59649.0,57296.0,65679.0,77301.0,81858.0,78206.0,80978.0,82444.0
1,영업이익,-951.0,4908.0,6608.0,8481.0,8404.0,6626.0,7556.0,7902.0
2,영업이익(발표기준),274.0,4908.0,6608.0,8481.0,8404.0,,,
3,세전계속사업이익,-7811.0,820.0,4896.0,6164.0,6030.0,4652.0,5760.0,6373.0
4,당기순이익,-8595.0,1160.0,2966.0,3942.0,3957.0,3019.0,3763.0,4167.0
5,당기순이익(지배),-8191.0,632.0,1486.0,2464.0,2399.0,1903.0,2346.0,2634.0
6,당기순이익(비지배),-404.0,528.0,1480.0,1478.0,1558.0,,,
7,자산총계,113832.0,100268.0,102761.0,110292.0,113386.0,113818.0,115586.0,117616.0
8,부채총계,82802.0,65784.0,71029.0,72084.0,70710.0,67366.0,65477.0,63455.0
9,자본총계,31030.0,34484.0,31732.0,38208.0,42676.0,46452.0,50109.0,54161.0
10,자본총계(지배),20214.0,20605.0,15937.0,19169.0,22226.0,25018.0,27465.0,30205.0
11,자본총계(비지배),10816.0,13879.0,15794.0,,,,,
12,자본금,10373.0,10373.0,10400.0,10408.0,10408.0,11050.0,11050.0,11050.0
13,영업활동현금흐름,2367.0,5130.0,6657.0,8378.0,5674.0,6668.0,7994.0,7226.0
14,투자활동현금흐름,-969.0,9096.0,-2563.0,-3128.0,-3394.0,-2716.0,-2580.0,-2594.0
15,재무활동현금흐름,820.0,-14544.0,323.0,-4226.0,-5498.0,-3629.0,-3670.0,-3383.0
16,CAPEX,2148.0,1739.0,1342.0,1508.0,2667.0,2097.0,1956.0,1968.0
17,FCF,219.0,3390.0,5315.0,6870.0,3007.0,2956.0,4902.0,4906.0
18,이자발생부채,60217.0,44232.0,46490.0,42688.0,39829.0,,,
19,영업이익률,-1.59,8.57,10.06,10.97,10.27,8.47,9.33,9.58
20,순이익률,-14.41,2.02,4.52,5.1,4.83,3.86,4.65,5.05
21,ROE(%),-33.98,3.1,8.13,14.04,11.59,8.06,8.94,9.13
22,ROA(%),-7.36,1.08,2.92,3.7,3.54,2.66,3.28,3.57
23,부채비율,266.85,190.77,223.84,188.66,165.69,145.02,130.67,117.16
24,자본유보율,69.5,79.8,95.79,121.27,135.69,,,
25,EPS(원),-3948.0,305.0,716.0,1184.0,1153.0,914.0,1127.0,1265.0
26,PER(배),,28.96,12.14,6.41,4.82,5.69,4.61,4.11
27,BPS(원),9744.0,9932.0,7662.0,9209.0,10677.0,12019.0,13194.0,14511.0
28,PBR(배),0.48,0.89,1.13,0.82,0.52,0.43,0.39,0.36
29,현금DPS(원),0.0,0.0,0.0,,,7.0,16.0,26.0
30,현금배당수익률,0.0,0.0,0.0,,,0.13,0.32,0.5
31,현금배당성향(%),0.0,0.0,0.0,0.0,0.0,0.74,1.46,2.05
32,발행주식수(보통주),207455314.0,207455314.0,208000119.0,208158077.0,208161279.0,,,
