,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,19075.0,18902.0,18899.0,18856.0,20351.0,22876.0,24169.0,25320.0
1,영업이익,1340.0,1240.0,872.0,904.0,882.0,1806.0,2095.0,2316.0
2,영업이익(발표기준),1340.0,1240.0,872.0,904.0,882.0,,,
3,세전계속사업이익,798.0,612.0,397.0,420.0,4.0,1292.0,1605.0,1828.0
4,당기순이익,534.0,384.0,127.0,223.0,-424.0,904.0,1134.0,1296.0
5,당기순이익(지배),533.0,384.0,127.0,222.0,-423.0,903.0,1134.0,1295.0
6,당기순이익(비지배),1.0,1.0,1.0,0.0,0.0,,,
7,자산총계,34605.0,34011.0,35076.0,34281.0,32709.0,34196.0,34408.0,35262.0
8,부채총계,21359.0,21092.0,22901.0,22658.0,22377.0,23442.0,22997.0,23051.0
9,자본총계,13246.0,12919.0,12175.0,11624.0,10332.0,10753.0,11411.0,12211.0
10,자본총계(지배),13241.0,12912.0,12168.0,11618.0,10325.0,10736.0,11392.0,12208.0
11,자본총계(비지배),5.0,7.0,7.0,,,,,
12,자본금,3688.0,3688.0,3688.0,3688.0,3688.0,3689.0,3689.0,3689.0
13,영업활동현금흐름,3040.0,1847.0,3449.0,1410.0,283.0,2103.0,2525.0,2352.0
14,투자활동현금흐름,-781.0,-859.0,-1042.0,-1014.0,-660.0,-1402.0,-1348.0,-1227.0
15,재무활동현금흐름,-1234.0,-1024.0,-1058.0,-387.0,-1116.0,188.0,-1289.0,-643.0
16,CAPEX,1177.0,1239.0,923.0,1193.0,1607.0,1369.0,1362.0,1286.0
17,FCF,1863.0,608.0,2526.0,217.0,-1325.0,849.0,1152.0,1388.0
18,이자발생부채,11220.0,10899.0,10475.0,10652.0,11715.0,,,
19,영업이익률,7.02,6.56,4.62,4.8,4.34,7.9,8.67,9.15
20,순이익률,2.8,2.03,0.67,1.18,-2.08,3.95,4.69,5.12
21,ROE(%),4.02,2.94,1.01,1.87,-3.86,8.58,10.25,10.98
22,ROA(%),1.55,1.12,0.37,0.64,-1.27,2.7,3.31,3.72
23,부채비율,161.25,163.26,188.1,194.92,216.58,218.0,201.53,188.78
24,자본유보율,283.43,271.98,254.67,240.09,202.85,,,
25,EPS(원),747.0,538.0,178.0,312.0,-594.0,1267.0,1591.0,1817.0
26,PER(배),31.31,39.18,135.43,53.17,,28.41,22.63,19.81
27,BPS(원),18975.0,18504.0,17437.0,16648.0,14796.0,15385.0,16325.0,17494.0
28,PBR(배),1.23,1.14,1.38,1.0,1.96,2.34,2.21,2.06
29,현금DPS(원),1000.0,900.0,800.0,800.0,700.0,671.0,679.0,685.0
30,현금배당수익률,4.27,4.27,3.32,4.82,2.41,1.87,1.88,1.9
31,현금배당성향(%),131.1,163.8,440.64,251.17,-115.48,52.15,41.98,37.07
32,발행주식수(보통주),70133611.0,70133611.0,70133611.0,70133611.0,70133611.0,,,
