,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,11329.0,13545.0,14655.0,15487.0,15248.0,,,
1,영업이익,1076.0,993.0,1120.0,493.0,304.0,,,
2,영업이익(발표기준),1076.0,993.0,1120.0,493.0,304.0,,,
3,세전계속사업이익,1570.0,1000.0,961.0,432.0,-138.0,,,
4,당기순이익,1128.0,743.0,707.0,194.0,-305.0,,,
5,당기순이익(지배),654.0,472.0,434.0,185.0,30.0,,,
6,당기순이익(비지배),474.0,271.0,274.0,9.0,-334.0,,,
7,자산총계,20587.0,22493.0,25607.0,26286.0,27739.0,,,
8,부채총계,7513.0,8723.0,11210.0,11755.0,12673.0,,,
9,자본총계,13074.0,13770.0,14397.0,14531.0,15066.0,,,
10,자본총계(지배),7322.0,7716.0,8128.0,8043.0,8128.0,,,
11,자본총계(비지배),5752.0,6054.0,6269.0,,,,,
12,자본금,266.0,266.0,266.0,266.0,266.0,,,
13,영업활동현금흐름,70.0,-8.0,1445.0,376.0,76.0,,,
14,투자활동현금흐름,-201.0,-1995.0,-1573.0,-1717.0,-1911.0,,,
15,재무활동현금흐름,1263.0,1438.0,1835.0,1146.0,1054.0,,,
16,CAPEX,1518.0,1599.0,1749.0,1180.0,1389.0,,,
17,FCF,-1448.0,-1607.0,-304.0,-804.0,-1313.0,,,
18,이자발생부채,3380.0,4910.0,6916.0,7925.0,8757.0,,,
19,영업이익률,9.5,7.33,7.64,3.19,1.99,,,
20,순이익률,9.96,5.48,4.83,1.25,-2.0,,,
21,ROE(%),9.11,6.27,5.47,2.28,0.37,,,
22,ROA(%),5.86,3.45,2.94,0.75,-1.13,,,
23,부채비율,57.46,63.34,77.87,80.89,84.11,,,
24,자본유보율,2649.77,2792.61,2901.96,3004.07,3024.62,,,
25,EPS(원),1320.0,952.0,875.0,373.0,60.0,,,
26,PER(배),31.77,24.99,44.84,67.34,372.73,,,
27,BPS(원),16127.0,16995.0,17903.0,17716.0,17903.0,,,
28,PBR(배),2.6,1.4,2.19,1.42,1.24,,,
29,현금DPS(원),300.0,300.0,300.0,250.0,325.0,,,
30,현금배당수익률,0.72,1.26,0.76,1.0,1.46,,,
31,현금배당성향(%),20.82,28.87,31.41,61.47,498.97,,,
32,발행주식수(보통주),47028210.0,47028210.0,47028210.0,47028210.0,47028210.0,,,
