,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,98900.0,111059.0,117668.0,106055.0,86519.0,89403.0,98995.0,106918.0
1,영업이익,1689.0,-4672.0,4290.0,6287.0,3641.0,4850.0,5807.0,6324.0
2,영업이익(발표기준),3434.0,-4672.0,4290.0,6287.0,3641.0,,,
3,세전계속사업이익,1195.0,-10111.0,3136.0,4318.0,3073.0,3882.0,5065.0,5519.0
4,당기순이익,1046.0,-7549.0,2579.0,2973.0,2012.0,2927.0,3747.0,4093.0
5,당기순이익(지배),1059.0,-7358.0,2589.0,2987.0,2086.0,2949.0,3771.0,4201.0
6,당기순이익(비지배),-13.0,-191.0,-10.0,-14.0,-74.0,,,
7,자산총계,100637.0,99702.0,87763.0,87338.0,96977.0,100064.0,104188.0,108570.0
8,부채총계,72704.0,79003.0,64983.0,64161.0,72094.0,72313.0,72764.0,73207.0
9,자본총계,27933.0,20699.0,22781.0,23177.0,24882.0,27751.0,31424.0,35363.0
10,자본총계(지배),27355.0,20316.0,22426.0,22819.0,24587.0,27454.0,31122.0,35257.0
11,자본총계(비지배),578.0,383.0,355.0,,,,,
12,자본금,20781.0,20781.0,20781.0,20781.0,20781.0,20780.0,20780.0,20780.0
13,영업활동현금흐름,6850.0,3588.0,3374.0,1762.0,-3097.0,3725.0,3297.0,3478.0
14,투자활동현금흐름,-5411.0,-2618.0,849.0,-1528.0,2542.0,-765.0,-1142.0,-971.0
15,재무활동현금흐름,690.0,1745.0,-7211.0,1675.0,1076.0,-957.0,-670.0,-951.0
16,CAPEX,4406.0,2736.0,680.0,270.0,235.0,482.0,424.0,439.0
17,FCF,2445.0,852.0,2694.0,1492.0,-3333.0,2766.0,3414.0,2755.0
18,이자발생부채,25340.0,27499.0,19705.0,21470.0,28667.0,,,
19,영업이익률,1.71,-4.21,3.65,5.93,4.21,5.42,5.87,5.92
20,순이익률,1.06,-6.8,2.19,2.8,2.33,3.27,3.79,3.83
21,ROE(%),3.95,-30.87,12.12,13.2,8.8,11.33,12.88,12.66
22,ROA(%),1.03,-7.54,2.75,3.4,2.18,2.97,3.67,3.85
23,부채비율,260.28,381.68,285.25,276.83,289.74,260.58,231.56,207.02
24,자본유보율,43.67,8.98,22.01,25.78,35.52,,,
25,EPS(원),255.0,-1770.0,623.0,719.0,502.0,710.0,907.0,1011.0
26,PER(배),21.98,,9.5,7.5,9.44,5.4,4.22,3.79
27,BPS(원),6658.0,4944.0,5458.0,5554.0,5984.0,6682.0,7574.0,8581.0
28,PBR(배),0.84,1.03,1.08,0.97,0.79,0.57,0.51,0.45
29,현금DPS(원),0.0,,,,,0.0,6.0,7.0
30,현금배당수익률,0.0,,,,,0.0,0.16,0.17
31,현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,0.69,0.66
32,발행주식수(보통주),415622638.0,415622638.0,415622638.0,415622638.0,415622638.0,,,
