,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,64413.0,70094.0,55362.0,54798.0,63680.0,62445.0,67956.0,73875.0
1,영업이익,-14543.0,701.0,469.0,2061.0,3855.0,3385.0,3892.0,4391.0
2,영업이익(발표기준),-14543.0,701.0,469.0,2061.0,3855.0,,,
3,세전계속사업이익,-14501.0,564.0,-296.0,1702.0,4005.0,3863.0,4382.0,4888.0
4,당기순이익,-13043.0,94.0,-521.0,702.0,2956.0,2801.0,3236.0,3590.0
5,당기순이익(지배),-13053.0,258.0,-454.0,687.0,2926.0,2807.0,3207.0,3594.0
6,당기순이익(비지배),9.0,-163.0,-68.0,15.0,29.0,,,
7,자산총계,56308.0,55201.0,50838.0,46285.0,45452.0,45812.0,50413.0,56368.0
8,부채총계,59437.0,45239.0,40792.0,35947.0,32424.0,29939.0,31425.0,33957.0
9,자본총계,-3129.0,9962.0,10047.0,10338.0,13029.0,15873.0,18988.0,22410.0
10,자본총계(지배),-3145.0,10109.0,10262.0,10550.0,13228.0,16097.0,19231.0,22662.0
11,자본총계(비지배),16.0,-147.0,-215.0,,,,,
12,자본금,2000.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0,9800.0
13,영업활동현금흐름,-8335.0,1879.0,-1340.0,4462.0,7841.0,1531.0,3103.0,4228.0
14,투자활동현금흐름,204.0,944.0,-152.0,207.0,-1472.0,89.0,-420.0,-307.0
15,재무활동현금흐름,10724.0,-1019.0,381.0,-8492.0,-4223.0,-573.0,133.0,-66.0
16,CAPEX,202.0,241.0,138.0,146.0,196.0,198.0,329.0,301.0
17,FCF,-8537.0,1638.0,-1478.0,4316.0,7645.0,1296.0,2589.0,3732.0
18,이자발생부채,28221.0,14516.0,14449.0,5575.0,1482.0,,,
19,영업이익률,-22.58,1.0,0.85,3.76,6.05,5.42,5.73,5.94
20,순이익률,-20.25,0.13,-0.94,1.28,4.64,4.49,4.76,4.86
21,ROE(%),-409.04,7.4,-4.45,6.6,24.62,19.14,18.16,17.16
22,ROA(%),-22.14,0.17,-0.98,1.45,6.44,6.14,6.73,6.72
23,부채비율,-1899.34,454.12,406.02,347.73,248.86,188.61,165.5,151.52
24,자본유보율,-121.43,26.19,15.33,21.87,51.89,,,
25,EPS(원),-20337.0,190.0,-231.0,350.0,1493.0,1432.0,1636.0,1834.0
26,PER(배),,54.29,,50.22,12.86,8.45,7.39,6.6
27,BPS(원),-5142.0,5158.0,5236.0,5383.0,6749.0,8213.0,9812.0,11562.0
28,PBR(배),,2.0,2.37,3.27,2.84,1.47,1.23,1.05
29,현금DPS(원),0.0,,,,,30.0,50.0,119.0
30,현금배당수익률,0.0,,,,,0.25,0.41,0.99
31,현금배당성향(%),0.0,0.0,0.0,0.0,0.0,2.1,3.06,6.5
32,발행주식수(보통주),64181675.0,196000000.0,196000000.0,196000000.0,196000000.0,,,
