,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,39405.0,44285.0,44855.0,48902.0,66562.0,56720.0,56670.0,57110.0
1,영업이익,3767.0,2117.0,3603.0,4581.0,5176.0,3764.0,4887.0,5306.0
2,영업이익(발표기준),3767.0,2117.0,3603.0,4581.0,5176.0,,,
3,세전계속사업이익,3649.0,2299.0,3560.0,4614.0,5227.0,3780.0,4915.0,5365.0
4,당기순이익,2750.0,1742.0,2710.0,3341.0,3918.0,2810.0,3619.0,3936.0
5,당기순이익(지배),2750.0,1742.0,2716.0,3341.0,3918.0,2773.0,3595.0,3922.0
6,당기순이익(비지배),0.0,0.0,-6.0,,,,,
7,자산총계,309944.0,332299.0,379483.0,383306.0,447296.0,488511.0,510282.0,529626.0
8,부채총계,274706.0,294030.0,335366.0,336685.0,397803.0,437264.0,456243.0,471734.0
9,자본총계,35238.0,38270.0,44116.0,46621.0,49493.0,50891.0,53414.0,56646.0
10,자본총계(지배),35238.0,38269.0,44096.0,46621.0,49493.0,51090.0,53542.0,56706.0
11,자본총계(비지배),,0.0,20.0,,,,,
12,자본금,3942.0,3942.0,4585.0,4585.0,4585.0,4581.0,4581.0,4582.0
13,영업활동현금흐름,-14172.0,14669.0,-7891.0,-15202.0,-39480.0,,,
14,투자활동현금흐름,-8397.0,-25339.0,-11665.0,27996.0,1888.0,,,
15,재무활동현금흐름,23933.0,15222.0,20891.0,-11967.0,38717.0,,,
16,CAPEX,170.0,192.0,164.0,114.0,107.0,,,
17,FCF,,,,,,,,
18,이자발생부채,10639.0,10083.0,17378.0,26807.0,38504.0,,,
19,영업이익률,9.56,4.78,8.03,9.37,7.78,6.64,8.62,9.29
20,순이익률,6.98,3.94,6.04,6.83,5.89,4.95,6.39,6.89
21,ROE(%),7.91,4.74,6.6,7.36,8.15,5.51,6.87,7.12
22,ROA(%),0.97,0.54,0.76,0.88,0.94,0.6,0.73,0.76
23,부채비율,779.57,768.31,760.18,722.17,803.76,859.22,854.16,832.78
24,자본유보율,872.0,870.93,862.24,916.87,979.5,,,
25,EPS(원),3489.0,2211.0,3125.0,3741.0,4388.0,3105.0,4026.0,4392.0
26,PER(배),11.61,13.91,11.71,8.42,8.8,9.0,6.94,6.36
27,BPS(원),48609.0,48552.0,49380.0,52207.0,55423.0,57211.0,59958.0,63501.0
28,PBR(배),0.83,0.63,0.74,0.6,0.7,0.49,0.47,0.44
29,현금DPS(원),970.0,630.0,1000.0,1400.0,1700.0,1370.0,1824.0,2115.0
30,현금배당수익률,2.39,2.05,2.73,4.44,4.4,4.9,6.52,7.57
31,현금배당성향(%),25.49,28.51,32.88,37.42,38.74,44.13,45.3,48.15
32,발행주식수(보통주),78822179.0,78822179.0,89300000.0,89300000.0,89300000.0,,,
