,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,15865.0,15477.0,17113.0,17127.0,19224.0,19335.0,20365.0,22106.0
1,영업이익,1424.0,816.0,565.0,386.0,590.0,709.0,872.0,952.0
2,영업이익(발표기준),1424.0,816.0,565.0,386.0,590.0,,,
3,세전계속사업이익,1373.0,632.0,719.0,-478.0,-68.0,428.0,731.0,746.0
4,당기순이익,1036.0,460.0,461.0,-498.0,-173.0,287.0,557.0,503.0
5,당기순이익(지배),1034.0,469.0,433.0,-508.0,-2.0,312.0,559.0,611.0
6,당기순이익(비지배),1.0,-10.0,28.0,10.0,-170.0,,,
7,자산총계,9922.0,12707.0,11961.0,11707.0,11795.0,12422.0,13101.0,13450.0
8,부채총계,5666.0,7071.0,6225.0,6781.0,7245.0,7731.0,8023.0,8311.0
9,자본총계,4256.0,5636.0,5736.0,4927.0,4550.0,4691.0,5078.0,5139.0
10,자본총계(지배),4256.0,4502.0,4757.0,4122.0,3978.0,3992.0,4360.0,4512.0
11,자본총계(비지배),,1134.0,979.0,,,,,
12,자본금,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
13,영업활동현금흐름,145.0,569.0,718.0,-214.0,879.0,711.0,870.0,1025.0
14,투자활동현금흐름,-552.0,-503.0,-1295.0,-251.0,-154.0,-583.0,-633.0,-431.0
15,재무활동현금흐름,1237.0,421.0,-671.0,198.0,-270.0,52.0,-138.0,-460.0
16,CAPEX,389.0,431.0,254.0,317.0,448.0,308.0,355.0,450.0
17,FCF,-244.0,138.0,464.0,-531.0,431.0,254.0,325.0,580.0
18,이자발생부채,4234.0,5248.0,4604.0,5028.0,5350.0,,,
19,영업이익률,8.97,5.27,3.3,2.25,3.07,3.67,4.28,4.31
20,순이익률,6.53,2.97,2.69,-2.91,-0.9,1.49,2.74,2.27
21,ROE(%),27.34,10.72,9.34,-11.43,-0.06,7.83,13.38,13.77
22,ROA(%),11.67,4.06,3.74,-4.21,-1.47,2.37,4.37,3.79
23,부채비율,133.12,125.45,108.53,137.63,159.22,164.82,158.01,161.74
24,자본유보율,2034.25,2208.2,2370.44,2095.4,2027.16,,,
25,EPS(원),2586.0,1174.0,1081.0,-1269.0,-6.0,780.0,1397.0,1528.0
26,PER(배),20.5,21.85,24.92,,,17.06,9.52,8.71
27,BPS(원),10640.0,11378.0,12122.0,10506.0,10137.0,10175.0,11111.0,11499.0
28,PBR(배),4.98,2.25,2.22,1.89,1.71,1.31,1.2,1.16
29,현금DPS(원),250.0,330.0,450.0,450.0,500.0,519.0,538.0,500.0
30,현금배당수익률,0.47,1.29,1.67,2.27,2.89,3.9,4.04,3.76
31,현금배당성향(%),9.67,27.81,40.83,-34.79,-7871.26,66.53,38.48,32.73
32,발행주식수(보통주),40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,,,
