,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,23152.0,23763.0,25168.0,27073.0,30189.0,32318.0,34956.0,37623.0
1,영업이익,4633.0,3388.0,4727.0,5198.0,4583.0,5457.0,5952.0,6464.0
2,영업이익(발표기준),4633.0,3388.0,4727.0,5198.0,4583.0,,,
3,세전계속사업이익,4545.0,3238.0,4399.0,4686.0,4514.0,5289.0,5788.0,6337.0
4,당기순이익,3431.0,2433.0,3256.0,3498.0,3322.0,3917.0,4290.0,4706.0
5,당기순이익(지배),3431.0,2436.0,3261.0,3502.0,3329.0,3922.0,4299.0,4717.0
6,당기순이익(비지배),0.0,-3.0,-5.0,-4.0,-7.0,,,
7,자산총계,17754.0,19677.0,21589.0,23789.0,28550.0,31266.0,34168.0,37796.0
8,부채총계,5372.0,7844.0,11766.0,12912.0,17778.0,17341.0,17485.0,17654.0
9,자본총계,12382.0,11833.0,9823.0,10877.0,10772.0,13925.0,16682.0,20141.0
10,자본총계(지배),12374.0,11828.0,9822.0,10881.0,10783.0,13941.0,16704.0,20169.0
11,자본총계(비지배),9.0,5.0,1.0,,,,,
12,자본금,407.0,407.0,407.0,407.0,407.0,410.0,410.0,410.0
13,영업활동현금흐름,5128.0,3575.0,5536.0,5391.0,5393.0,6549.0,7448.0,7885.0
14,투자활동현금흐름,-3295.0,-3675.0,-2897.0,-3935.0,-3831.0,-3640.0,-3780.0,-3974.0
15,재무활동현금흐름,-2134.0,-400.0,-2183.0,-1868.0,-1649.0,-691.0,-1311.0,-1422.0
16,CAPEX,3293.0,3282.0,3368.0,4003.0,3906.0,3413.0,3583.0,3754.0
17,FCF,1836.0,293.0,2168.0,1389.0,1486.0,2056.0,2293.0,2383.0
18,이자발생부채,880.0,3518.0,6823.0,7416.0,9018.0,,,
19,영업이익률,20.01,14.26,18.78,19.2,15.18,16.89,17.03,17.18
20,순이익률,14.82,10.24,12.94,12.92,11.0,12.12,12.27,12.51
21,ROE(%),30.15,20.14,30.12,33.84,30.74,31.73,28.06,25.58
22,ROA(%),20.2,13.0,15.78,15.42,12.7,13.1,13.11,13.08
23,부채비율,43.38,66.28,119.79,118.71,165.04,124.53,104.81,87.65
24,자본유보율,3208.14,3214.14,2686.45,2697.25,2671.88,,,
25,EPS(원),4449.0,3167.0,4328.0,4735.0,4511.0,5315.0,5826.0,6391.0
26,PER(배),18.9,27.88,22.58,15.65,20.64,12.53,11.43,10.42
27,BPS(원),16654.0,16136.0,13619.0,15074.0,14931.0,19214.0,23022.0,27798.0
28,PBR(배),5.05,5.47,7.17,4.92,6.24,3.47,2.89,2.4
29,현금DPS(원),2800.0,3200.0,3200.0,3600.0,2400.0,1257.0,1307.0,1357.0
30,현금배당수익률,3.33,3.62,3.28,4.86,2.58,1.89,1.96,2.04
31,현금배당성향(%),60.62,96.33,71.21,74.18,52.05,23.65,22.44,21.23
32,발행주식수(보통주),77124796.0,76380513.0,74818121.0,73799619.0,73799619.0,,,
