,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,161325.0,166915.0,191660.0,207804.0,205126.0,186465.0,197007.0,202174.0
1,영업이익,14641.0,14454.0,13676.0,10261.0,3313.0,1170.0,5385.0,5727.0
2,영업이익(발표기준),14641.0,14450.0,13676.0,10261.0,3313.0,,,
3,세전계속사업이익,9267.0,11740.0,10813.0,5698.0,517.0,-1783.0,2781.0,3198.0
4,당기순이익,7392.0,8671.0,7275.0,4080.0,256.0,-1374.0,2023.0,2305.0
5,당기순이익(지배),7336.0,8502.0,7161.0,3987.0,171.0,-1329.0,1942.0,2184.0
6,당기순이익(비지배),55.0,170.0,114.0,93.0,85.0,,,
7,자산총계,319364.0,325408.0,333738.0,333049.0,343663.0,336694.0,338687.0,337053.0
8,부채총계,164164.0,160560.0,163383.0,162818.0,171326.0,164998.0,165500.0,161771.0
9,자본총계,155200.0,164848.0,170355.0,170231.0,172337.0,171696.0,173187.0,175282.0
10,자본총계(지배),152420.0,161762.0,167155.0,166960.0,168984.0,168572.0,170066.0,172179.0
11,자본총계(비지배),2780.0,3085.0,3200.0,,,,,
12,자본금,6672.0,6672.0,6672.0,6672.0,6672.0,6670.0,6670.0,6670.0
13,영업활동현금흐름,30759.0,29166.0,17198.0,15753.0,6264.0,15518.0,15373.0,16462.0
14,투자활동현금흐름,-22050.0,-19758.0,-12342.0,-11648.0,-11629.0,-8714.0,-10808.0,-11344.0
15,재무활동현금흐름,-7462.0,-10169.0,-4503.0,-4185.0,6907.0,-5508.0,-2853.0,-4352.0
16,CAPEX,22167.0,19757.0,12011.0,11980.0,11572.0,10447.0,10530.0,10639.0
17,FCF,8592.0,9409.0,5187.0,3773.0,-5308.0,4043.0,4273.0,5389.0
18,이자발생부채,129363.0,120718.0,115492.0,112858.0,122172.0,,,
19,영업이익률,9.08,8.66,7.13,4.94,1.62,0.63,2.73,2.83
20,순이익률,4.58,5.2,3.8,1.96,0.13,-0.74,1.03,1.14
21,ROE(%),5.08,5.41,4.35,2.39,0.1,-0.79,1.15,1.28
22,ROA(%),2.43,2.69,2.21,1.22,0.08,-0.4,0.6,0.68
23,부채비율,105.78,97.4,95.91,95.64,99.41,96.1,95.56,92.29
24,자본유보율,2055.8,2183.46,2276.91,2319.31,2308.48,,,
25,EPS(원),5866.0,6371.0,5366.0,2988.0,128.0,-996.0,1455.0,1637.0
26,PER(배),8.52,8.95,10.92,15.15,245.36,,15.01,13.35
27,BPS(원),116920.0,123228.0,127336.0,127188.0,128729.0,128147.0,129283.0,130889.0
28,PBR(배),0.43,0.46,0.46,0.36,0.24,0.17,0.17,0.17
29,현금DPS(원),750.0,750.0,750.0,750.0,750.0,733.0,737.0,739.0
30,현금배당수익률,1.5,1.32,1.28,1.66,2.38,3.36,3.37,3.38
31,현금배당성향(%),13.33,11.58,13.75,24.7,575.59,-73.66,50.62,45.16
32,발행주식수(보통주),133445785.0,133445785.0,133445785.0,133445785.0,133445785.0,,,
