,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,25267.0,25311.0,30553.0,32781.0,29607.0,27384.0,28489.0,29286.0
1,영업이익,2223.0,1435.0,1885.0,559.0,440.0,396.0,769.0,919.0
2,영업이익(발표기준),2223.0,1435.0,1885.0,559.0,440.0,,,
3,세전계속사업이익,2151.0,1328.0,1733.0,295.0,306.0,225.0,592.0,759.0
4,당기순이익,1650.0,1047.0,1372.0,248.0,192.0,248.0,436.0,557.0
5,당기순이익(지배),1509.0,887.0,1267.0,210.0,172.0,227.0,408.0,517.0
6,당기순이익(비지배),141.0,160.0,104.0,38.0,20.0,,,
7,자산총계,35939.0,35371.0,35910.0,37189.0,35769.0,35578.0,35751.0,36100.0
8,부채총계,16773.0,15428.0,14878.0,17239.0,15938.0,15645.0,15513.0,15463.0
9,자본총계,19166.0,19942.0,21032.0,19950.0,19831.0,19933.0,20202.0,20635.0
10,자본총계(지배),14732.0,17378.0,18363.0,18596.0,18473.0,18607.0,18889.0,19260.0
11,자본총계(비지배),4434.0,2565.0,2669.0,,,,,
12,자본금,2193.0,2193.0,2193.0,2193.0,2193.0,2191.0,2191.0,2191.0
13,영업활동현금흐름,3537.0,2552.0,2219.0,880.0,3234.0,1644.0,1348.0,1839.0
14,투자활동현금흐름,-4424.0,-1714.0,-1255.0,-918.0,-1501.0,-725.0,-888.0,-988.0
15,재무활동현금흐름,-560.0,-1791.0,-1043.0,631.0,-1707.0,-475.0,-392.0,-240.0
16,CAPEX,817.0,1608.0,965.0,821.0,661.0,676.0,812.0,926.0
17,FCF,2721.0,945.0,1254.0,59.0,2573.0,1177.0,920.0,845.0
18,이자발생부채,9751.0,9993.0,9244.0,11498.0,10341.0,,,
19,영업이익률,8.8,5.67,6.17,1.7,1.49,1.45,2.7,3.14
20,순이익률,6.53,4.13,4.49,0.76,0.65,0.91,1.53,1.9
21,ROE(%),,5.53,7.09,1.14,0.93,1.22,2.18,2.71
22,ROA(%),,2.94,3.85,0.68,0.53,0.7,1.22,1.55
23,부채비율,87.52,77.36,70.74,86.41,80.37,78.49,76.79,74.94
24,자본유보율,640.3,667.24,711.65,708.58,702.54,,,
25,EPS(원),4208.0,2473.0,3533.0,585.0,480.0,632.0,1138.0,1442.0
26,PER(배),6.56,10.33,8.22,30.24,31.78,15.37,8.54,6.74
27,BPS(원),41386.0,48820.0,51588.0,52244.0,51897.0,52335.0,53129.0,54171.0
28,PBR(배),0.67,0.52,0.56,0.34,0.29,0.19,0.18,0.18
29,현금DPS(원),1000.0,800.0,900.0,850.0,300.0,300.0,336.0,370.0
30,현금배당수익률,3.62,3.13,3.1,4.8,1.97,3.09,3.46,3.81
31,현금배당성향(%),23.59,32.1,25.28,144.13,62.06,47.45,29.57,25.65
32,발행주식수(보통주),35862119.0,35862119.0,35862119.0,35862119.0,35862119.0,,,
