,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,11935.0,14322.0,17144.0,17694.0,19423.0,14836.0,19012.0,20408.0
1,영업이익,669.0,703.0,862.0,777.0,1220.0,-384.0,1203.0,1417.0
2,영업이익(발표기준),669.0,703.0,862.0,777.0,1220.0,,,
3,세전계속사업이익,728.0,180.0,115.0,-2105.0,-2286.0,-1798.0,56.0,398.0
4,당기순이익,522.0,56.0,100.0,-1885.0,-2391.0,-1884.0,8.0,338.0
5,당기순이익(지배),519.0,123.0,-14.0,-1407.0,-1526.0,-1391.0,-16.0,236.0
6,당기순이익(비지배),3.0,-67.0,114.0,-479.0,-864.0,,,
7,자산총계,14176.0,25418.0,24601.0,22342.0,45240.0,42821.0,42982.0,45821.0
8,부채총계,9724.0,16213.0,16824.0,16839.0,39229.0,37110.0,37315.0,39444.0
9,자본총계,4452.0,9205.0,7777.0,5503.0,6011.0,5711.0,5668.0,6377.0
10,자본총계(지배),4211.0,3736.0,3080.0,2597.0,2704.0,2746.0,2674.0,3361.0
11,자본총계(비지배),241.0,5469.0,4697.0,,,,,
12,자본금,106.0,106.0,106.0,106.0,106.0,143.0,143.0,139.0
13,영업활동현금흐름,1517.0,1878.0,1943.0,1053.0,2833.0,1164.0,3193.0,3315.0
14,투자활동현금흐름,-2273.0,-8354.0,-2859.0,-400.0,-2285.0,-1873.0,-1693.0,-1921.0
15,재무활동현금흐름,1065.0,7054.0,360.0,-58.0,1050.0,2420.0,807.0,1093.0
16,CAPEX,1919.0,1913.0,2782.0,2453.0,1993.0,1623.0,1649.0,1324.0
17,FCF,-403.0,-35.0,-839.0,-1400.0,841.0,666.0,1796.0,2967.0
18,이자발생부채,5793.0,10709.0,10617.0,9253.0,30555.0,,,
19,영업이익률,5.61,4.91,5.03,4.39,6.28,-2.59,6.33,6.94
20,순이익률,4.37,0.39,0.59,-10.66,-12.31,-12.7,0.04,1.66
21,ROE(%),12.94,3.1,-0.41,-49.56,-57.6,-51.03,-0.58,7.8
22,ROA(%),3.91,0.28,0.4,-8.03,-7.07,-4.28,0.02,0.76
23,부채비율,218.43,176.13,216.35,306.01,652.62,649.81,658.4,618.53
24,자본유보율,3948.38,3967.39,3873.67,2566.82,994.32,,,
25,EPS(원),2455.0,583.0,-66.0,-6647.0,-7213.0,-5124.0,-45.0,671.0
26,PER(배),51.33,120.74,,,,,,34.5
27,BPS(원),19899.0,17654.0,14554.0,12271.0,12777.0,7825.0,7620.0,9577.0
28,PBR(배),6.33,3.99,5.1,3.34,2.7,2.96,3.04,2.42
29,현금DPS(원),350.0,350.0,350.0,,0.0,36.0,36.0,94.0
30,현금배당수익률,0.28,0.5,0.47,,0.0,0.16,0.16,0.4
31,현금배당성향(%),14.26,60.03,-528.08,-3.01,0.0,-0.55,-48.75,8.42
32,발행주식수(보통주),21161313.0,21161313.0,21161313.0,21161313.0,21161313.0,,,
