,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,12150.0,12392.0,11670.0,10797.0,10308.0,,,
1,영업이익,201.0,418.0,51.0,86.0,4.0,,,
2,영업이익(발표기준),201.0,418.0,51.0,86.0,4.0,,,
3,세전계속사업이익,380.0,460.0,100.0,77.0,390.0,,,
4,당기순이익,267.0,372.0,50.0,20.0,292.0,,,
5,당기순이익(지배),267.0,372.0,50.0,20.0,292.0,,,
6,당기순이익(비지배),,,,,,,,
7,자산총계,9941.0,10415.0,10357.0,10527.0,10564.0,,,
8,부채총계,1450.0,1522.0,1407.0,1638.0,1441.0,,,
9,자본총계,8491.0,8893.0,8950.0,8888.0,9122.0,,,
10,자본총계(지배),8491.0,8893.0,8950.0,8888.0,9122.0,,,
11,자본총계(비지배),,,,,,,,
12,자본금,44.0,44.0,44.0,44.0,44.0,,,
13,영업활동현금흐름,553.0,1210.0,120.0,426.0,-111.0,,,
14,투자활동현금흐름,-601.0,-783.0,-241.0,-458.0,121.0,,,
15,재무활동현금흐름,7.0,-9.0,-9.0,-9.0,-103.0,,,
16,CAPEX,257.0,392.0,529.0,729.0,955.0,,,
17,FCF,296.0,818.0,-408.0,-304.0,-1066.0,,,
18,이자발생부채,,,0.0,0.0,415.0,,,
19,영업이익률,1.66,3.38,0.43,0.8,0.04,,,
20,순이익률,2.19,3.0,0.43,0.19,2.84,,,
21,ROE(%),3.19,4.28,0.56,0.23,3.25,,,
22,ROA(%),2.72,3.65,0.48,0.19,2.77,,,
23,부채비율,17.08,17.12,15.72,18.43,15.8,,,
24,자본유보율,19572.94,20478.24,20608.54,20469.81,20997.99,,,
25,EPS(원),30064.0,41928.0,5663.0,2273.0,32968.0,,,
26,PER(배),24.55,17.51,123.09,274.54,13.33,,,
27,BPS(원),1003278.0,1050706.0,1057421.0,1050154.0,1077820.0,,,
28,PBR(배),0.74,0.7,0.66,0.59,0.41,,,
29,현금DPS(원),1000.0,1000.0,1000.0,1000.0,1000.0,,,
30,현금배당수익률,0.14,0.14,0.14,0.16,0.23,,,
31,현금배당성향(%),3.21,2.3,17.02,42.41,2.92,,,
32,발행주식수(보통주),720000.0,720000.0,720000.0,720000.0,720000.0,,,
