,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,4071.0,4251.0,4174.0,4343.0,4860.0,,,
1,영업이익,353.0,602.0,516.0,365.0,243.0,,,
2,영업이익(발표기준),353.0,602.0,516.0,365.0,243.0,,,
3,세전계속사업이익,247.0,668.0,490.0,375.0,284.0,,,
4,당기순이익,125.0,470.0,349.0,304.0,164.0,,,
5,당기순이익(지배),125.0,470.0,349.0,304.0,164.0,,,
6,당기순이익(비지배),0.0,0.0,0.0,0.0,0.0,,,
7,자산총계,7565.0,7509.0,7247.0,7394.0,7999.0,,,
8,부채총계,1165.0,789.0,858.0,788.0,1159.0,,,
9,자본총계,6399.0,6720.0,6389.0,6605.0,6840.0,,,
10,자본총계(지배),6398.0,6716.0,6385.0,6604.0,6839.0,,,
11,자본총계(비지배),1.0,4.0,4.0,,,,,
12,자본금,275.0,275.0,275.0,275.0,275.0,,,
13,영업활동현금흐름,722.0,830.0,351.0,510.0,406.0,,,
14,투자활동현금흐름,-150.0,-21.0,-432.0,-331.0,20.0,,,
15,재무활동현금흐름,-490.0,-629.0,-107.0,-146.0,-412.0,,,
16,CAPEX,224.0,241.0,486.0,310.0,165.0,,,
17,FCF,498.0,588.0,-135.0,200.0,241.0,,,
18,이자발생부채,736.0,217.0,355.0,291.0,449.0,,,
19,영업이익률,8.68,14.17,12.35,8.41,5.0,,,
20,순이익률,3.08,11.05,8.37,7.01,3.37,,,
21,ROE(%),1.97,7.16,5.33,4.68,2.44,,,
22,ROA(%),1.62,6.23,4.74,4.16,2.13,,,
23,부채비율,18.21,11.74,13.42,11.93,16.95,,,
24,자본유보율,2342.56,2470.65,2497.97,2512.63,2549.78,,,
25,EPS(원),228.0,854.0,634.0,554.0,302.0,,,
26,PER(배),54.24,16.98,42.95,37.39,47.33,,,
27,BPS(원),11808.0,12394.0,11784.0,12188.0,12620.0,,,
28,PBR(배),1.05,1.17,2.31,1.7,1.13,,,
29,현금DPS(원),200.0,500.0,130.0,80.0,,,,
30,현금배당수익률,1.62,3.45,0.48,0.39,,,,
31,현금배당성향(%),86.54,57.68,20.19,14.26,0.0,,,
32,발행주식수(보통주),55000000.0,55000000.0,55000000.0,54186600.0,54186600.0,,,
