,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,13175.0,8827.0,9166.0,10160.0,11136.0,11785.0,12869.0,13982.0
1,영업이익,2118.0,268.0,822.0,836.0,1039.0,1046.0,1287.0,1616.0
2,영업이익(발표기준),2118.0,268.0,822.0,836.0,1039.0,,,
3,세전계속사업이익,2096.0,80.0,588.0,504.0,833.0,765.0,1073.0,1404.0
4,당기순이익,1621.0,303.0,690.0,342.0,639.0,590.0,821.0,1071.0
5,당기순이익(지배),1544.0,233.0,604.0,249.0,521.0,489.0,677.0,888.0
6,당기순이익(비지배),76.0,70.0,85.0,93.0,118.0,,,
7,자산총계,17226.0,15970.0,16609.0,16912.0,19137.0,20138.0,20690.0,21914.0
8,부채총계,9778.0,8625.0,8685.0,9020.0,10914.0,11390.0,11239.0,11505.0
9,자본총계,7448.0,7345.0,7924.0,7893.0,8223.0,8748.0,9452.0,10408.0
10,자본총계(지배),6749.0,6595.0,7117.0,7032.0,7238.0,7655.0,8218.0,8994.0
11,자본총계(비지배),699.0,751.0,807.0,,,,,
12,자본금,256.0,261.0,279.0,285.0,290.0,294.0,294.0,293.0
13,영업활동현금흐름,1017.0,4130.0,-629.0,260.0,124.0,1138.0,1306.0,1421.0
14,투자활동현금흐름,-1144.0,-3551.0,-1529.0,-1458.0,-1729.0,-932.0,-787.0,-521.0
15,재무활동현금흐름,945.0,-629.0,1377.0,1404.0,1986.0,218.0,-384.0,-103.0
16,CAPEX,1211.0,2003.0,2471.0,1823.0,1661.0,789.0,625.0,468.0
17,FCF,-194.0,2127.0,-3100.0,-1563.0,-1537.0,222.0,780.0,997.0
18,이자발생부채,3674.0,3322.0,4762.0,6312.0,8516.0,,,
19,영업이익률,16.07,3.03,8.96,8.23,9.33,8.88,10.0,11.55
20,순이익률,12.3,3.43,7.52,3.36,5.73,5.0,6.38,7.66
21,ROE(%),25.69,3.5,8.82,3.52,7.3,6.56,8.53,10.31
22,ROA(%),11.76,1.83,4.23,2.04,3.54,3.0,4.02,5.03
23,부채비율,131.28,117.42,109.6,114.28,132.74,130.19,118.91,110.54
24,자본유보율,2525.43,2476.93,2510.88,2468.74,2542.54,,,
25,EPS(원),13041.0,1970.0,5103.0,2102.0,4400.0,4125.0,5713.0,7495.0
26,PER(배),49.34,137.09,110.28,216.81,67.39,57.45,41.48,31.62
27,BPS(원),57091.0,55826.0,60358.0,59686.0,61479.0,65077.0,69869.0,76462.0
28,PBR(배),11.27,4.84,9.32,7.63,4.82,3.64,3.39,3.1
29,현금DPS(원),1728.0,0.0,471.0,481.0,490.0,493.0,493.0,494.0
30,현금배당수익률,0.27,0.0,0.08,0.11,0.17,0.21,0.21,0.21
31,현금배당성향(%),13.22,0.0,9.19,22.75,11.07,11.96,8.63,6.59
32,발행주식수(보통주),11843029.0,11843029.0,11843029.0,11843029.0,11843029.0,,,
