,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,26350.0,28550.0,29688.0,29568.0,29640.0,30789.0,31941.0,32965.0
1,영업이익,1099.0,1111.0,967.0,1202.0,1298.0,1558.0,1661.0,1752.0
2,영업이익(발표기준),1099.0,1111.0,967.0,1202.0,1298.0,,,
3,세전계속사업이익,777.0,819.0,835.0,1191.0,1506.0,1655.0,1522.0,1616.0
4,당기순이익,472.0,601.0,518.0,654.0,1089.0,1167.0,1103.0,1179.0
5,당기순이익(지배),583.0,646.0,527.0,649.0,1072.0,1158.0,1095.0,1169.0
6,당기순이익(비지배),-111.0,-46.0,-10.0,5.0,17.0,,,
7,자산총계,21046.0,23085.0,22524.0,21990.0,23971.0,25055.0,25994.0,27344.0
8,부채총계,12861.0,14412.0,13680.0,12703.0,13749.0,13841.0,13879.0,14246.0
9,자본총계,8185.0,8673.0,8844.0,9287.0,10222.0,11214.0,12115.0,13098.0
10,자본총계(지배),7934.0,8482.0,8710.0,9151.0,10048.0,10988.0,11914.0,12923.0
11,자본총계(비지배),252.0,191.0,135.0,,,,,
12,자본금,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
13,영업활동현금흐름,924.0,548.0,1662.0,1216.0,1673.0,2235.0,1938.0,1954.0
14,투자활동현금흐름,-1875.0,-2203.0,-677.0,-234.0,-498.0,-443.0,-505.0,-414.0
15,재무활동현금흐름,1946.0,967.0,-1094.0,-752.0,-551.0,-262.0,-389.0,-327.0
16,CAPEX,1849.0,1172.0,1390.0,1456.0,1098.0,758.0,775.0,700.0
17,FCF,-925.0,-625.0,272.0,-240.0,575.0,1261.0,1131.0,1294.0
18,이자발생부채,8242.0,9576.0,8511.0,7953.0,8356.0,,,
19,영업이익률,4.17,3.89,3.26,4.06,4.38,5.06,5.2,5.32
20,순이익률,1.79,2.1,1.74,2.21,3.67,3.79,3.45,3.58
21,ROE(%),7.51,7.87,6.13,7.27,11.17,11.02,9.56,9.41
22,ROA(%),2.41,2.72,2.27,2.94,4.74,4.76,4.32,4.42
23,부채비율,157.12,166.18,154.67,136.78,134.5,123.42,114.55,108.77
24,자본유보율,2223.39,2353.67,2475.36,2626.23,2845.79,,,
25,EPS(원),1618.0,1794.0,1464.0,1801.0,2976.0,3216.0,3040.0,3245.0
26,PER(배),20.15,14.72,18.82,13.91,7.79,7.8,8.26,7.74
27,BPS(원),22027.0,23549.0,24181.0,25405.0,27896.0,30507.0,33079.0,35878.0
28,PBR(배),1.48,1.12,1.14,0.99,0.83,0.82,0.76,0.7
29,현금DPS(원),400.0,400.0,500.0,550.0,600.0,529.0,550.0,542.0
30,현금배당수익률,1.23,1.52,1.81,2.2,2.59,2.11,2.19,2.16
31,현금배당성향(%),24.74,22.32,34.18,30.56,20.17,15.81,17.41,16.06
32,발행주식수(보통주),34411575.0,34411575.0,34648025.0,34648025.0,34648025.0,,,
