,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,8960.0,9694.0,10431.0,10177.0,22070.0,22427.0,23320.0,24315.0
1,영업이익,1046.0,1113.0,1253.0,1123.0,1297.0,1359.0,1541.0,1732.0
2,영업이익(발표기준),1046.0,1113.0,1253.0,1123.0,1297.0,,,
3,세전계속사업이익,1462.0,1741.0,1618.0,1856.0,1284.0,1775.0,2035.0,2256.0
4,당기순이익,1111.0,1295.0,1225.0,1666.0,859.0,1345.0,1543.0,1712.0
5,당기순이익(지배),1111.0,1295.0,1225.0,1666.0,859.0,1342.0,1537.0,1712.0
6,당기순이익(비지배),,,,,,,,
7,자산총계,16664.0,19030.0,18754.0,25581.0,24996.0,26020.0,27054.0,28487.0
8,부채총계,3095.0,4477.0,3310.0,8736.0,7678.0,7666.0,7596.0,7684.0
9,자본총계,13569.0,14553.0,15444.0,16845.0,17318.0,18354.0,19458.0,20804.0
10,자본총계(지배),13569.0,14553.0,15444.0,16845.0,17318.0,18335.0,19433.0,20791.0
11,자본총계(비지배),,,,,,,,
12,자본금,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
13,영업활동현금흐름,851.0,928.0,279.0,18.0,324.0,1775.0,1841.0,1734.0
14,투자활동현금흐름,-373.0,-1945.0,1227.0,583.0,-147.0,-519.0,-436.0,-455.0
15,재무활동현금흐름,-170.0,718.0,-1258.0,-49.0,-637.0,-296.0,-303.0,-278.0
16,CAPEX,127.0,92.0,101.0,135.0,301.0,271.0,283.0,328.0
17,FCF,724.0,836.0,179.0,-117.0,23.0,1079.0,1203.0,1237.0
18,이자발생부채,,960.0,0.0,2306.0,2531.0,,,
19,영업이익률,11.67,11.48,12.02,11.04,5.88,6.06,6.61,7.12
20,순이익률,12.4,13.35,11.74,16.37,3.89,6.0,6.62,7.04
21,ROE(%),,9.21,8.16,10.32,5.03,7.53,8.14,8.51
22,ROA(%),,7.25,6.48,7.51,3.4,5.27,5.81,6.17
23,부채비율,22.81,30.76,21.43,51.86,44.34,41.77,39.04,36.93
24,자본유보율,2175.42,2360.69,2535.32,2771.35,2869.08,,,
25,EPS(원),9259.0,10788.0,10205.0,13881.0,7162.0,11180.0,12812.0,14267.0
26,PER(배),12.47,10.34,11.81,7.13,11.24,5.99,5.23,4.7
27,BPS(원),114563.0,123533.0,132142.0,144125.0,148171.0,160166.0,169752.0,181620.0
28,PBR(배),1.01,0.9,0.91,0.69,0.54,0.42,0.39,0.37
29,현금DPS(원),1500.0,1500.0,1700.0,1900.0,2000.0,2111.0,2233.0,2289.0
30,현금배당수익률,1.3,1.35,1.41,1.92,2.48,3.15,3.33,3.42
31,현금배당성향(%),15.99,13.67,16.22,13.33,27.2,18.88,17.43,16.04
32,발행주식수(보통주),12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,,,
